x-axis;1;2
second;Volt;Volt
-250,0000E-03;-94,6407E-03;+867,5234E-03
-249,5000E-03;-92,6876E-03;+872,4062E-03
-249,0000E-03;-90,7345E-03;+880,2187E-03
-248,5000E-03;-90,7345E-03;+875,3359E-03
-248,0000E-03;-88,7814E-03;+882,1719E-03
-247,5000E-03;-88,7814E-03;+869,4766E-03
-247,0000E-03;-88,7814E-03;+872,4062E-03
-246,5000E-03;-88,7814E-03;+877,2891E-03
-246,0000E-03;-88,7814E-03;+867,5234E-03
-245,5000E-03;-90,7345E-03;+883,1484E-03
-245,0000E-03;-92,6876E-03;+850,9219E-03
-244,5000E-03;-94,6407E-03;+886,0781E-03
-244,0000E-03;-96,5939E-03;+803,0703E-03
-243,5000E-03;-98,5470E-03;+809,9062E-03
-243,0000E-03;-102,4532E-03;+791,3516E-03
-242,5000E-03;-106,3595E-03;+846,0391E-03
-242,0000E-03;-110,2657E-03;+800,1406E-03
-241,5000E-03;-112,2189E-03;+866,5469E-03
-241,0000E-03;-118,0782E-03;+875,3359E-03
-240,5000E-03;-121,9845E-03;+775,7266E-03
-240,0000E-03;-127,8439E-03;+824,5547E-03
-239,5000E-03;-133,7032E-03;+796,2344E-03
-239,0000E-03;-139,5626E-03;+802,0937E-03
-238,5000E-03;-147,3751E-03;+825,5312E-03
-238,0000E-03;-153,2345E-03;+815,7656E-03
-237,5000E-03;-161,0470E-03;+838,2266E-03
-237,0000E-03;-166,9064E-03;+848,9687E-03
-236,5000E-03;-174,7189E-03;+853,8516E-03
-236,0000E-03;-182,5314E-03;+803,0703E-03
-235,5000E-03;-190,3439E-03;+867,5234E-03
-235,0000E-03;-198,1564E-03;+876,3125E-03
-234,5000E-03;-207,9220E-03;+847,9922E-03
-234,0000E-03;-217,6876E-03;+852,8750E-03
-233,5000E-03;-227,4532E-03;+883,1484E-03
-233,0000E-03;-237,2189E-03;+840,1797E-03
-232,5000E-03;-246,9845E-03;+839,2031E-03
-232,0000E-03;-256,7501E-03;+840,1797E-03
-231,5000E-03;-268,4689E-03;+837,2500E-03
-231,0000E-03;-278,2345E-03;+851,8984E-03
-230,5000E-03;-288,0001E-03;+888,0312E-03
-230,0000E-03;-299,7189E-03;+853,8516E-03
-229,5000E-03;-311,4376E-03;+842,1328E-03
-229,0000E-03;-323,1564E-03;+838,2266E-03
-228,5000E-03;-334,8751E-03;+866,5469E-03
-228,0000E-03;-346,5939E-03;+821,6250E-03
-227,5000E-03;-358,3126E-03;+789,3984E-03
-227,0000E-03;-370,0314E-03;+850,9219E-03
