
12/06/2018;16:37:53

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87433;7
16,1;87437;14
20,1;87437;-37
26,1;87437;-22
32,1;87433;0
38,1;87433;14
44,1;87437;-8
50,1;87437;7
56,1;87433;0
62,1;87437;-22
68,1;87433;-44
74,1;87437;-44
80,1;87433;-15
86,1;87429;-37
92,1;87433;58
98,1;87437;29
104,1;87433;-44
110,1;87437;-8
116,1;87429;-37
122,1;87437;7
129,1;87437;-44
134,1;87437;-22
140,1;87433;-44
146,1;87429;-15
152,1;87433;-8
158,1;87433;-22
164,1;87433;-37
170,1;87437;-37
176,1;87433;14
182,1;87437;-15
188,1;87437;-22
194,1;87433;0
200,1;87433;0
206,1;87429;7
212,1;87433;0
218,1;87433;0
224,1;87433;29
230,1;87437;-37
236,1;87433;0
242,1;87433;-146
248,1;87437;-15
254,1;87433;-8
260,1;87433;0
266,1;87437;14
272,1;87433;-22
278,1;87433;-8
284,1;87433;0
290,1;87429;0
296,1;87429;-8
302,1;87437;0
308,1;87433;-22
314,1;87437;0
320,1;87433;0
326,1;87433;7
332,1;87433;14
338,1;87433;29
344,1;87429;-44
350,1;87429;0
356,1;87433;-8
362,1;87433;-44
368,1;87437;-30
374,1;87433;-8
380,1;87433;-8
386,1;87437;0
392,1;87433;7
398,1;87429;-22
404,1;87433;-51
410,1;87433;7
416,1;87433;-8
422,1;87437;-22
428,1;87437;-59
434,1;87433;-44
440,1;87437;0
446,1;87437;0
452,1;87437;7
458,1;87437;-30
464,1;87437;0
470,1;87433;21
476,1;87433;-44
482,1;87437;-59
488,1;87433;-15
494,1;87433;-73
500,1;87433;-22
506,1;87433;-37
512,1;87433;0
518,1;87437;-22
524,1;87433;0
530,1;87433;-44
536,1;87433;-22
542,1;87433;-51
548,1;87442;-44
554,1;87437;-30
560,1;87433;-30
566,1;87437;58
572,1;87433;0
578,1;87433;-51
584,1;87429;0
590,1;87437;-8
596,1;87433;0
602,1;87433;-37
608,1;87433;14
614,1;87433;36
620,1;87433;-44
626,1;87433;0
632,1;87437;-73
638,1;87442;0
644,1;87429;-8
650,1;87433;-22
656,1;87433;36
668,1;87433;0
686,1;87433;21
692,1;87433;-44
710,1;87437;-22
716,1;87433;21
722,1;87433;-8
728,1;87433;0
740,1;87437;0
746,1;87433;-22
752,1;87437;-8
758,1;87433;-15
764,1;87433;0
776,1;87433;-37
782,1;87433;-22
