
12/06/2018;16:39:42

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87385;-8
5,1;87380;-22
17,1;87385;-22
23,1;87385;43
29,1;87385;-8
35,1;87380;-30
41,1;87385;-22
53,1;87380;-8
59,1;87385;-30
65,1;87380;-22
71,1;87385;-15
77,1;87385;7
89,1;87385;0
95,1;87380;0
101,1;87385;-37
107,1;87385;-30
113,1;87380;-73
125,1;87385;-37
131,1;87385;-8
137,1;87385;0
143,1;87380;-8
149,1;87380;-37
161,1;87385;0
167,1;87385;-59
173,1;87380;0
179,1;87385;-22
185,1;87385;-8
197,1;87385;-8
203,1;87380;0
209,1;87380;-66
215,1;87385;-44
221,1;87385;-15
249,1;87385;-30
251,1;87385;-22
263,1;87385;21
275,1;87385;-22
281,1;87389;0
287,1;87380;0
293,1;87389;-8
299,1;87380;65
311,1;87385;-22
317,1;87380;-37
323,1;87389;36
329,1;87385;21
335,1;87385;7
347,1;87385;-22
353,1;87385;-59
359,1;87385;-22
365,1;87380;-8
371,1;87385;7
383,1;87385;-22
389,1;87380;-8
395,1;87385;-30
401,1;87385;-22
407,1;87385;-8
419,1;87385;0
425,1;87385;-59
431,1;87385;-51
437,1;87385;-8
443,1;87385;-30
455,1;87385;-22
461,1;87385;-37
467,1;87380;-37
473,1;87385;21
479,1;87385;-22
491,1;87385;-22
497,1;87380;36
503,1;87380;43
509,1;87385;7
515,1;87380;-44
527,1;87380;-73
533,1;87385;14
539,1;86326;-1426
551,1;72021;-1899
563,1;42090;-619
569,1;24776;-451
575,1;6789;-364
581,1;-8648;-422
587,1;-8283;-51
605,1;9628;-15
611,1;15899;-37
624,1;29852;0
655,1;67218;65
659,1;72628;58
665,1;80028;7
671,1;87859;21
677,1;86036;-59
689,1;86378;-22
695,1;86607;-44
701,1;86770;-37
707,1;87051;-8
713,1;87367;0
725,1;87284;7
731,1;87336;-8
737,1;87385;-30
743,1;87376;-22
749,1;87372;0
761,1;87380;-37
767,1;87380;0
773,1;87376;-51
779,1;87380;-102
785,1;87380;-37
797,1;87389;-37
803,1;87385;-15
809,1;87380;-8
815,1;87380;-59
821,1;87380;-8
833,1;87380;-30
839,1;87376;0
845,1;87380;-15
851,1;87380;-8
857,1;87380;-44
869,1;87380;-22
875,1;87380;0
881,1;87385;-22
887,1;87376;-8
893,1;87380;-8
905,1;87380;-22
911,1;87385;-22
917,1;87380;-44
923,1;87380;0
929,1;87380;-8
941,1;87385;-22
947,1;87385;0
953,1;87380;-22
959,1;87380;-8
965,1;87380;-8
977,1;87380;-37
983,1;87380;-8
989,1;87376;-73
1014,1;87385;36
1025,1;87380;-37
1037,1;87380;-8
1043,1;87389;0
1049,1;87380;-22
1061,1;87380;-37
1067,1;87380;-44
1073,1;87385;14
1079,1;87380;-8
1085,1;87380;-66
1097,1;87385;-51
1103,1;87380;7
1109,1;87380;-139
1115,1;87380;-8
1121,1;87380;-30
1133,1;87385;-66
1139,1;87380;-8
1145,1;87380;-44
1151,1;87380;-22
1157,1;87380;-37
1169,1;87385;-22
1175,1;87385;-22
1181,1;87385;-44
1187,1;87380;-22
1193,1;87385;-22
1205,1;87380;-30
1211,1;87385;-22
1217,1;87380;0
1223,1;87380;21
1229,1;87389;0
1241,1;87380;-37
1247,1;87380;0
1253,1;87385;-8
1259,1;87385;0
1265,1;87385;21
1277,1;87380;0
1283,1;87385;-37
1289,1;87380;-22
1295,1;87385;-15
1301,1;87380;-22
1313,1;87380;-37
1319,1;87380;58
1325,1;87385;-22
1331,1;87380;-8
1337,1;87380;-153
1349,1;87380;-22
1355,1;87380;-8
1361,1;87380;0
1367,1;87385;-22
1373,1;87380;0
1385,1;87389;-44
1391,1;87376;-22
1397,1;87385;0
1403,1;87380;-59
1409,1;87385;0
1421,1;87380;-44
1427,1;87385;21
1433,1;87385;-8
1439,1;87385;-37
1445,1;87380;14
1457,1;87385;7
1463,1;87376;-37
1469,1;87385;-37
1475,1;87380;21
1481,1;87376;0
1493,1;87376;-30
1499,1;87385;-88
1505,1;87380;-37
1511,1;87380;-8
1517,1;87380;-8
1529,1;87385;14
1535,1;87385;0
1541,1;87380;7
1547,1;87380;7
1553,1;87385;0
1565,1;87380;-22
1571,1;87380;-22
1577,1;87380;-22
1583,1;87385;-8
1589,1;87385;-88
1601,1;87380;-88
1607,1;87380;-8
1613,1;87380;-59
1619,1;87385;0
1625,1;87385;-8
1637,1;87380;-30
1643,1;87385;0
1649,1;87385;14
1655,1;87385;0
1661,1;87385;-44
1673,1;87385;-22
1679,1;87385;-15
1685,1;87389;0
1691,1;87385;-30
1697,1;87385;-30
1709,1;87385;-80
1715,1;87385;14
1721,1;87385;-73
1727,1;87380;-15
1733,1;87380;-15
1745,1;87380;-8
1751,1;87380;0
1778,1;87380;-8
1787,1;87385;-8
1799,1;87385;7
1805,1;87385;-37
1811,1;87380;-80
1823,1;87380;-37
1829,1;87385;-8
1835,1;87385;-66
1841,1;87380;-22
1847,1;87380;-22
1859,1;87380;-8
1865,1;87385;-22
1871,1;87385;-8
1877,1;87380;7
1883,1;87380;-37
1895,1;87385;-30
1901,1;87385;-22
1907,1;87380;-8
1913,1;87385;29
1919,1;87380;-8
