
12/06/2018;16:32:56

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87437;-59
5,1;87437;-59
8,1;87437;-30
14,1;87437;0
26,1;87442;0
32,1;87433;-8
38,1;87433;-22
44,1;87437;0
50,1;87433;79
62,1;87433;-30
68,1;87437;-59
74,1;87437;0
80,1;87437;-131
86,1;87437;-22
98,1;87437;-8
104,1;87437;7
110,1;87437;-44
116,1;87433;-15
122,1;87433;-22
134,1;87433;7
140,1;87433;-8
146,1;87437;-37
152,1;87437;0
158,1;87442;50
170,1;87433;-22
176,1;87433;94
182,1;87433;0
188,1;87437;-37
194,1;87437;-37
206,1;87437;7
212,1;87442;-131
218,1;87437;-22
224,1;87437;-30
230,1;87433;-8
242,1;87433;-37
248,1;87433;14
254,1;87437;14
260,1;87437;-30
266,1;87437;-37
278,1;87433;-8
284,1;87437;-59
290,1;87433;-30
296,1;87433;-37
302,1;87437;-51
314,1;87433;-51
320,1;87437;-22
326,1;87433;-22
332,1;87429;-44
338,1;87437;-22
350,1;87437;7
356,1;87437;0
362,1;87437;-37
368,1;87437;-30
374,1;87433;-15
386,1;87437;0
392,1;87437;-8
398,1;87437;-22
404,1;87437;0
410,1;87437;-22
422,1;87433;-22
428,1;87442;7
434,1;87437;0
440,1;87437;0
446,1;87437;0
458,1;87437;-102
464,1;87437;43
470,1;87437;-22
476,1;87437;43
482,1;87437;-8
494,1;87437;-8
500,1;87437;-66
506,1;87437;21
512,1;87437;-8
518,1;87437;-37
530,1;87437;-22
536,1;87433;-44
542,1;87437;7
548,1;87433;0
554,1;87437;-59
566,1;87437;-59
572,1;87433;-22
578,1;87433;-8
584,1;87332;-793
596,1;83012;-779
624,1;39788;-873
626,1;36057;-953
632,1;20623;-728
638,1;3766;-728
650,1;-7321;-22
668,1;9347;-15
687,1;28582;-22
718,1;64423;-80
722,1;69262;-15
728,1;76710;50
734,1;84300;-15
746,1;85429;58
758,1;85095;-73
764,1;85306;-44
770,1;85719;-22
782,1;87266;36
788,1;87336;-30
794,1;87249;-8
800,1;87367;-22
806,1;87442;-146
818,1;87398;-8
824,1;87389;87
830,1;87446;-8
836,1;87451;-37
842,1;87433;-44
854,1;87433;-44
860,1;87437;-30
866,1;87442;0
872,1;87446;-30
878,1;87437;14
890,1;87446;-15
896,1;87442;-8
902,1;87442;-44
908,1;87442;-51
914,1;87451;-30
926,1;87446;0
932,1;87437;0
938,1;87437;-30
944,1;87451;0
950,1;87446;-30
962,1;87442;0
968,1;87437;0
974,1;87451;7
980,1;87451;21
986,1;87446;-8
998,1;87437;-8
1004,1;87446;-37
1010,1;87446;-37
1016,1;87451;0
1022,1;87446;-8
1034,1;87442;-139
1040,1;87446;-37
1046,1;87451;-59
1052,1;87451;0
1058,1;87442;-8
1070,1;87446;-44
1076,1;87451;0
1082,1;87451;-22
1088,1;87446;-30
1094,1;87442;0
1106,1;87451;-51
1112,1;87451;0
1118,1;87451;-22
1124,1;87446;14
1130,1;87446;-37
1142,1;87446;0
1148,1;87446;21
1154,1;87451;0
1160,1;87451;29
1166,1;87446;-66
1178,1;87451;-37
1184,1;87451;0
1190,1;87451;-22
1196,1;87451;21
1202,1;87446;-15
1214,1;87451;-22
1220,1;87446;-51
1226,1;87451;-8
1232,1;87451;-30
1238,1;87446;7
1250,1;87446;-8
1256,1;87446;-22
1262,1;87446;-22
1268,1;87451;0
1274,1;87446;-15
1286,1;87451;-30
1292,1;87451;-110
1298,1;87451;-37
1310,1;87446;-66
1342,1;87451;7
1346,1;87446;-30
1352,1;87446;-8
1364,1;87446;0
1376,1;87451;0
1382,1;87451;-8
1388,1;87446;-37
1394,1;87446;65
1400,1;87446;-8
1412,1;87451;0
1418,1;87446;-8
1424,1;87451;-8
1430,1;87446;-22
1436,1;87446;7
1448,1;87446;14
1454,1;87451;-37
1460,1;87451;-8
1466,1;87451;7
1472,1;87451;-15
1484,1;87446;-51
1490,1;87451;0
1496,1;87446;-37
1502,1;87451;-8
1508,1;87446;-59
1520,1;87451;-15
1526,1;87451;-22
1532,1;87446;-37
1538,1;87451;-8
1544,1;87446;-22
1556,1;87451;-37
1562,1;87451;-37
1568,1;87455;0
1574,1;87451;0
1580,1;87451;-124
1592,1;87451;-8
1598,1;87451;-22
1604,1;87446;-44
1610,1;87451;29
1616,1;87442;-37
1628,1;87446;-8
1634,1;87451;-22
1640,1;87451;-44
1646,1;87446;-30
1652,1;87451;36
1664,1;87451;0
1670,1;87451;0
1676,1;87451;14
1682,1;87451;-8
1688,1;87451;-59
1700,1;87446;-22
1706,1;87442;7
1712,1;87451;-8
1718,1;87446;0
1724,1;87455;0
1736,1;87451;-8
1742,1;87446;-30
1748,1;87446;-8
1754,1;87451;-30
1760,1;87451;-22
1772,1;87451;0
1778,1;87451;14
1784,1;87446;-22
1790,1;87446;-146
1796,1;87451;7
1808,1;87451;7
1814,1;87451;0
1820,1;87451;-22
1826,1;87446;14
1832,1;87451;-8
1844,1;87446;0
1850,1;87451;0
1856,1;87451;-30
