
12/06/2018;16:39:25

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87376;-8
16,1;87376;-44
22,1;87376;-59
28,1;87376;36
34,1;87376;-8
40,1;87376;-8
46,1;87376;-30
52,1;87372;0
58,1;87376;7
64,1;87376;-22
70,1;87376;0
76,1;87376;-37
82,1;87372;-37
88,1;87376;-30
94,1;87372;-8
100,1;87376;-22
106,1;87372;0
112,1;87376;0
118,1;87376;-51
124,1;87376;-8
130,1;87376;-22
136,1;87372;0
142,1;87372;0
148,1;87372;7
154,1;87376;-15
160,1;87376;-22
166,1;87376;7
172,1;87376;-22
178,1;87376;-8
184,1;87376;-30
190,1;87376;-22
196,1;87376;0
202,1;87372;-30
208,1;87376;36
214,1;87376;-30
220,1;87376;-8
226,1;87376;-15
232,1;87376;7
238,1;87376;-44
244,1;87376;29
250,1;87376;-22
256,1;87380;36
262,1;87376;-44
268,1;87376;-15
274,1;87376;7
280,1;87380;14
286,1;87376;-8
292,1;87372;-88
298,1;87376;0
304,1;87376;-22
310,1;87372;0
316,1;87376;-8
322,1;87376;-22
328,1;87376;14
334,1;87376;0
340,1;87372;-8
346,1;87372;0
352,1;87376;-22
358,1;87376;-8
364,1;87376;0
370,1;87376;-22
376,1;87376;-15
382,1;87376;-22
388,1;87372;7
394,1;87376;-22
400,1;87376;-8
406,1;87376;0
412,1;87372;-59
418,1;87376;-37
424,1;87376;7
430,1;87376;-8
436,1;87376;-8
442,1;87376;-88
448,1;87376;-8
454,1;87376;-22
460,1;87372;-8
466,1;87376;-51
472,1;87376;-8
478,1;87376;-8
484,1;87376;-8
490,1;87376;-44
496,1;87380;-59
502,1;87376;21
508,1;87376;-30
514,1;87380;-59
520,1;87372;-37
532,1;87376;-15
538,1;87376;-8
544,1;87372;-37
550,1;87376;-8
562,1;87376;-37
568,1;87376;-8
574,1;87200;-1179
586,1;81896;-582
598,1;72303;-226
604,1;66471;-342
624,1;45347;-240
628,1;40623;-197
640,1;26701;-255
652,1;12124;-291
658,1;4381;-233
664,1;-3379;7
702,1;8982;-146
723,1;23980;-30
724,1;25132;-22
730,1;30186;-8
742,1;40702;0
748,1;46371;-30
754,1;52167;14
760,1;58218;43
766,1;64652;-44
778,1;77822;14
784,1;84590;-22
790,1;86594;0
796,1;85877;-15
802,1;86053;-95
814,1;86370;-15
820,1;86893;-44
826,1;87473;-73
832,1;87205;-44
838,1;87275;-30
850,1;87380;-15
856,1;87376;-22
862,1;87380;-22
868,1;87380;7
874,1;87376;-8
886,1;87385;-30
892,1;87380;0
898,1;87385;-8
904,1;87389;0
910,1;87385;21
922,1;87380;-22
928,1;87385;-51
934,1;87389;-59
940,1;87389;-37
946,1;87385;-22
958,1;87385;7
964,1;87385;-66
970,1;87385;-37
976,1;87380;-22
982,1;87385;-8
994,1;87385;-22
1000,1;87385;-44
1006,1;87385;-22
1012,1;87385;-51
1018,1;87385;0
1030,1;87385;-37
1036,1;87385;-22
1042,1;87380;36
1048,1;87385;-37
1054,1;87389;-8
1066,1;87385;-8
1072,1;87385;21
1078,1;87385;-22
1084,1;87385;-15
1090,1;87380;-30
1102,1;87389;7
1108,1;87389;-30
1114,1;87385;-22
1120,1;87389;-44
1126,1;87385;-37
1138,1;87385;-30
1144,1;87389;-8
1150,1;87385;-22
1156,1;87385;-66
1162,1;87385;-51
1174,1;87380;-51
1180,1;87385;-22
1186,1;87380;7
1192,1;87385;7
1198,1;87385;-8
1210,1;87385;-37
1216,1;87385;-30
1222,1;87389;14
1228,1;87385;-44
1234,1;87385;-8
1246,1;87380;-30
1252,1;87385;-8
1258,1;87385;-22
1264,1;87385;-37
1270,1;87385;-59
1282,1;87380;-30
1310,1;87385;-44
1312,1;87385;-8
1330,1;87385;7
1336,1;87385;-44
1342,1;87385;-37
1348,1;87385;-44
1360,1;87380;-51
1366,1;87385;-22
1372,1;87389;-8
1378,1;87385;-37
1384,1;87380;-22
1396,1;87385;-15
1402,1;87385;-59
1408,1;87385;0
1414,1;87389;0
1420,1;87385;0
1432,1;87385;-8
1438,1;87385;0
1444,1;87380;-73
1450,1;87389;-30
1456,1;87385;-8
1468,1;87385;0
1474,1;87385;-22
1480,1;87380;0
1486,1;87385;-22
1492,1;87385;14
1504,1;87385;-8
1510,1;87389;-44
1516,1;87385;21
1522,1;87389;-44
1528,1;87380;0
1540,1;87380;-66
1546,1;87380;-15
1552,1;87385;-22
1558,1;87385;-22
1564,1;87385;-37
1576,1;87385;-22
1582,1;87385;-44
1588,1;87385;7
1594,1;87385;-22
1600,1;87389;0
1612,1;87385;-8
1618,1;87385;0
1624,1;87380;-15
1630,1;87380;-8
1636,1;87385;-15
1648,1;87385;-30
1654,1;87385;-44
1660,1;87389;-37
1666,1;87385;-8
1672,1;87385;7
1684,1;87385;-22
1690,1;87385;-37
1696,1;87385;0
1702,1;87385;-30
1708,1;87389;0
1720,1;87385;-22
1726,1;87385;-8
1732,1;87385;-22
1738,1;87385;7
1744,1;87385;0
1756,1;87389;14
1762,1;87385;-59
1768,1;87385;7
1774,1;87380;-30
1780,1;87385;-95
1792,1;87385;7
1798,1;87385;14
1804,1;87385;-22
1810,1;87385;7
1816,1;87385;0
1828,1;87385;-66
