
12/06/2018;16:38:44

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87394;-37
5,1;87394;0
9,1;87394;-30
19,1;87389;0
25,1;87394;36
47,1;87389;0
49,1;87389;-22
55,1;87389;7
67,1;87389;-30
73,1;87389;-8
79,1;87394;14
85,1;87394;-59
91,1;87394;-30
103,1;87394;-22
109,1;87389;-8
115,1;87389;-15
121,1;87394;-44
127,1;87394;-15
139,1;87398;-8
145,1;87394;14
151,1;87389;-8
157,1;87394;-44
163,1;87394;-8
175,1;87389;0
181,1;87394;-8
187,1;87394;-8
193,1;87389;-8
199,1;87394;-22
211,1;87394;0
217,1;87389;-37
223,1;87389;-30
229,1;87389;-95
235,1;87389;-37
247,1;87389;-8
253,1;87389;0
259,1;87389;0
265,1;87389;-117
271,1;87394;-22
283,1;87389;14
289,1;87389;-8
295,1;87389;-59
301,1;87394;0
327,1;87394;0
331,1;87394;7
343,1;87389;-8
355,1;87394;-22
361,1;87394;-8
367,1;87389;-59
373,1;87394;7
379,1;87389;-66
391,1;87389;7
397,1;87394;0
403,1;87394;0
409,1;87394;7
415,1;87389;0
427,1;87389;0
433,1;87394;-8
439,1;87389;-8
445,1;87398;-37
451,1;87394;-22
463,1;87389;-30
469,1;87394;-51
475,1;87385;-146
481,1;87394;7
487,1;87389;0
499,1;87389;-59
505,1;87394;29
511,1;87389;7
517,1;87394;-8
523,1;87394;-44
535,1;87394;-8
541,1;87394;-8
547,1;87389;-22
553,1;87394;0
559,1;87394;7
571,1;87394;21
577,1;87394;-59
583,1;87394;7
589,1;87389;-22
595,1;87389;0
607,1;87389;-8
613,1;87389;-8
619,1;87389;-22
625,1;87389;-37
631,1;87389;-8
643,1;87389;-59
649,1;87389;-30
655,1;87389;7
661,1;87394;-73
667,1;87389;43
679,1;87394;-15
685,1;87394;-22
691,1;87385;-8
697,1;87394;-8
703,1;87394;0
715,1;87389;-22
721,1;87389;0
727,1;87389;0
733,1;87389;36
739,1;87389;21
751,1;87389;7
757,1;87394;-8
763,1;87394;0
769,1;87394;-51
775,1;87394;0
787,1;87394;14
793,1;87394;-37
799,1;87389;0
805,1;87389;-66
811,1;87389;-8
823,1;87398;-8
829,1;86875;-1339
841,1;75550;-1877
857,1;30726;-1455
865,1;-1937;-1026
873,1;-10278;-44
883,1;2649;58
889,1;9575;-531
920,1;22833;-379
951,1;8257;-488
969,1;-7299;-73
979,1;-4605;7
998,1;4864;-22
1014,1;15161;0
1015,1;16123;7
1027,1;24780;-15
1033,1;29685;-73
1039,1;34527;0
1046,1;39774;14
1051,1;44503;-22
1063,1;55384;43
1075,1;67122;-59
1091,1;83737;-30
1099,1;86581;-8
1105,1;85530;-8
1111,1;85275;72
1117,1;85412;14
1135,1;87020;29
1141,1;87354;-37
1147,1;87350;-8
1153,1;87398;-22
1159,1;87372;7
1171,1;87385;29
1177,1;87394;-88
1183,1;87380;7
1189,1;87380;-30
1195,1;87394;-8
1207,1;87394;-8
1213,1;87394;-8
1219,1;87398;-22
1225,1;87389;-22
1231,1;87385;72
1243,1;87389;36
1249,1;87394;-30
1255,1;87394;-37
1261,1;87385;-124
1267,1;87394;-37
1279,1;87394;0
1285,1;87385;-146
1291,1;87389;-51
1297,1;87389;-22
1303,1;87394;-22
1315,1;87389;-30
1321,1;87389;-8
1327,1;87394;-22
1333,1;87389;-8
1339,1;87389;-30
1351,1;87389;-8
1357,1;87389;7
1363,1;87394;-8
1369,1;87389;-44
1375,1;87389;-8
1387,1;87389;-8
1393,1;87394;-22
1399,1;87385;-51
1405,1;87389;7
1411,1;87394;-8
1423,1;87389;-8
1429,1;87389;-44
1435,1;87394;0
1441,1;87394;0
1447,1;87394;-44
1459,1;87389;-22
1465,1;87394;-8
1471,1;87394;-8
1477,1;87394;-44
1483,1;87394;7
1495,1;87394;-59
1501,1;87398;-22
1507,1;87394;-22
1513,1;87389;-37
1519,1;87394;-22
1531,1;87394;-22
1537,1;87394;-37
1543,1;87394;0
1549,1;87394;-22
1555,1;87394;-22
1567,1;87394;-30
1573,1;87394;-44
1579,1;87394;0
1585,1;87389;-8
1591,1;87394;-8
1603,1;87389;-37
1609,1;87394;-22
1615,1;87394;-15
1621,1;87389;-37
1627,1;87389;-22
1639,1;87389;-102
1645,1;87389;-44
1651,1;87389;-8
1657,1;87394;-44
1663,1;87394;0
1675,1;87394;-37
1681,1;87394;0
1687,1;87389;0
1693,1;87394;0
1699,1;87394;29
1711,1;87394;-8
1717,1;87394;-8
1723,1;87394;14
1729,1;87389;-44
1735,1;87389;-51
