
12/06/2018;16:32:12

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87446;-37
16,1;87446;-8
22,1;87451;0
28,1;87451;0
34,1;87451;-30
46,1;87446;-8
52,1;87446;-8
58,1;87437;-22
64,1;87446;36
70,1;87446;29
82,1;87446;29
88,1;87446;-8
94,1;87442;14
100,1;87442;-8
106,1;87446;-15
118,1;87451;0
124,1;87446;-73
130,1;87446;-37
136,1;87446;0
142,1;87451;-8
154,1;87442;14
160,1;87446;-8
166,1;87442;58
172,1;87446;0
178,1;87446;0
190,1;87451;0
196,1;87446;0
202,1;87446;-15
208,1;87446;7
214,1;87446;-22
226,1;87446;-15
232,1;87446;-37
238,1;87446;-8
244,1;87451;0
251,1;87442;14
262,1;87446;29
268,1;87446;-22
274,1;87446;0
280,1;87446;-22
286,1;87442;65
298,1;87451;7
304,1;87446;-15
310,1;87446;-22
316,1;87446;-37
322,1;87442;-22
334,1;87451;14
340,1;87451;0
346,1;87451;0
352,1;87446;-8
358,1;87446;7
370,1;87446;-22
376,1;87442;0
382,1;87446;-8
388,1;87446;0
394,1;87442;-22
406,1;87446;-51
412,1;87451;0
418,1;87446;-8
424,1;87446;14
430,1;87451;-30
442,1;87446;58
448,1;87446;-30
454,1;87451;-15
460,1;87446;-8
466,1;87442;0
478,1;87446;7
484,1;87446;-131
490,1;87446;36
496,1;87442;7
510,1;87446;-30
520,1;87446;-30
526,1;87446;0
532,1;87446;-51
538,1;87451;7
544,1;87446;-37
556,1;87451;-30
568,1;87451;14
574,1;87446;-8
593,1;87455;21
598,1;87446;7
610,1;87446;-51
616,1;87446;-30
628,1;87446;21
634,1;87446;-59
640,1;87446;-37
646,1;87446;0
652,1;87446;-22
664,1;87446;-30
670,1;87446;36
676,1;87451;-30
682,1;87446;-37
688,1;87446;-30
700,1;87446;29
706,1;87446;-8
712,1;87451;36
718,1;87446;-37
724,1;87442;-30
736,1;87446;-15
742,1;87446;0
748,1;87446;-37
754,1;87446;-22
760,1;87451;0
772,1;87446;0
778,1;87446;-22
784,1;87446;14
790,1;87446;-8
796,1;87442;-37
808,1;87446;-44
814,1;87446;21
820,1;87446;0
826,1;87442;-51
832,1;87446;-22
844,1;87446;-22
850,1;87451;-8
856,1;87446;-95
862,1;87446;-8
868,1;87442;-22
880,1;87446;36
886,1;87446;-15
892,1;87451;0
898,1;87446;0
904,1;87446;-22
916,1;87446;-22
922,1;87446;-8
928,1;87442;-37
934,1;87446;-30
940,1;87446;-8
952,1;87446;-30
958,1;87446;-22
964,1;87446;0
970,1;87446;29
976,1;87446;-124
988,1;87446;-8
994,1;87446;-22
1000,1;87442;-8
1006,1;87446;-8
1012,1;87446;0
1024,1;87446;-37
1030,1;87442;-8
1036,1;87451;-8
1042,1;87446;-30
1048,1;87446;-59
1060,1;87446;0
1066,1;87451;0
1072,1;87451;-30
1078,1;87446;-8
1084,1;87446;-73
1096,1;86027;-873
1108,1;76899;-917
1123,1;54747;-568
1126,1;49460;-560
1138,1;25088;-539
1144,1;11526;-531
1150,1;-2764;-560
1156,1;-9795;-684
1162,1;-5831;-30
1180,1;10700;36
1186,1;16475;0
1201,1;31706;58
1210,1;40983;14
1216,1;47526;0
1222,1;54079;0
1228,1;60692;-15
1234,1;67829;-51
1246,1;82146;-51
1252,1;87367;0
1258,1;85666;-22
1264,1;85091;0
1270,1;85042;-37
1282,1;85570;-37
1288,1;86119;36
1294,1;87205;14
1300,1;87424;21
1306,1;87350;-8
1318,1;87442;-8
1342,1;87429;0
1360,1;87437;0
1366,1;87433;-44
1372,1;87433;-146
1378,1;87433;-15
1384,1;87433;-8
1396,1;87442;36
1402,1;87446;43
1408,1;87442;0
1414,1;87433;7
1420,1;87424;14
1432,1;87442;7
1438,1;87437;29
1444,1;87433;-8
1450,1;87429;-8
1456,1;87433;-8
1468,1;87437;21
1474,1;87437;-22
1480,1;87429;0
1486,1;87429;-44
1492,1;87446;-22
1504,1;87442;14
1510,1;87433;-15
1516,1;87433;-22
1522,1;87442;-51
1528,1;87442;-15
1540,1;87437;0
1546,1;87437;-66
1552,1;87442;7
1558,1;87442;0
1564,1;87442;-8
1576,1;87437;-30
1582,1;87433;-44
1588,1;87433;14
1594,1;87442;-22
1600,1;87442;14
1612,1;87437;-22
1618,1;87437;-30
1624,1;87442;-22
1630,1;87437;-37
1636,1;87442;0
1648,1;87437;-30
1654,1;87437;0
1660,1;87433;0
1666,1;87437;7
1672,1;87442;-37
1684,1;87437;43
1690,1;87442;0
1696,1;87442;-30
1702,1;87442;58
1708,1;87442;-22
1720,1;87437;0
1726,1;87437;0
1732,1;87442;14
1738,1;87437;-37
1744,1;87437;-8
1756,1;87437;0
1762,1;87442;-30
1768,1;87437;-22
1774,1;87437;-30
1780,1;87437;-37
1792,1;87442;0
1798,1;87437;0
1804,1;87446;14
1810,1;87442;-22
1816,1;87442;-8
1828,1;87442;-8
1834,1;87437;-124
1840,1;87442;14
1846,1;87442;-8
1852,1;87442;-59
1864,1;87437;-22
1870,1;87442;7
1876,1;87442;-73
1882,1;87442;-22
1888,1;87442;-15
