
12/06/2018;16:37:05

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87437;-37
16,1;87442;-8
18,1;87437;-8
30,1;87437;-102
36,1;87437;29
42,1;87437;-30
48,1;87442;-22
54,1;87437;0
66,1;87437;-22
72,1;87442;0
78,1;87442;-44
84,1;87442;21
90,1;87437;-8
102,1;87437;-30
108,1;87442;0
114,1;87437;7
120,1;87437;-8
126,1;87437;-30
138,1;87442;21
144,1;87442;-30
150,1;87437;-30
156,1;87442;0
162,1;87437;-44
174,1;87437;-8
180,1;87437;-8
186,1;87437;-22
192,1;87437;-8
198,1;87433;-73
210,1;87437;-66
216,1;87437;-22
222,1;87437;-8
228,1;87442;0
234,1;87437;36
246,1;87437;-8
252,1;87437;-44
258,1;87437;-37
264,1;87442;-37
270,1;87442;-44
282,1;87442;7
288,1;87437;-22
294,1;87437;-8
300,1;87442;21
306,1;87442;0
318,1;87437;0
324,1;87437;-37
330,1;87442;0
336,1;87442;-8
342,1;87437;0
354,1;87437;-59
360,1;87437;-22
366,1;87437;-66
372,1;87442;0
378,1;87437;-30
390,1;87437;-59
396,1;87433;7
402,1;87437;-30
408,1;87437;0
414,1;87437;29
426,1;87437;29
432,1;87437;-22
438,1;87437;-22
444,1;87437;-22
450,1;87433;-37
462,1;87437;-37
468,1;87442;7
474,1;87437;-51
480,1;87437;-15
486,1;87437;-51
498,1;87437;36
504,1;87442;-30
510,1;87437;14
516,1;87240;-997
534,1;70510;-1550
540,1;57700;-1702
546,1;40275;-1659
552,1;18540;-1557
558,1;-6165;-1899
570,1;-4974;-51
582,1;5185;14
588,1;9417;-633
600,1;12225;-568
624,1;4038;-531
640,1;-6394;7
671,1;18061;50
672,1;18812;7
678,1;24565;7
684,1;30273;29
690,1;36184;7
718,1;64419;29
720,1;66568;-66
726,1;73045;36
732,1;79690;21
738,1;86348;-15
750,1;85706;-117
765,1;86053;-73
768,1;86040;0
786,1;87407;0
792,1;87332;-44
798,1;87341;0
804,1;87394;7
816,1;87407;-22
822,1;87380;7
828,1;87372;0
834,1;87398;-22
840,1;87429;0
852,1;87389;0
858,1;87398;0
864,1;87411;14
870,1;87411;-44
876,1;87398;-22
888,1;87402;-8
894,1;87411;21
900,1;87420;0
906,1;87411;-37
912,1;87398;0
924,1;87411;-8
930,1;87420;7
936,1;87407;-146
942,1;87402;-8
948,1;87402;0
960,1;87424;21
966,1;87407;-8
972,1;87402;-8
978,1;87407;21
984,1;87416;-8
996,1;87411;7
1002,1;87411;-22
1008,1;87416;-22
1014,1;87411;-22
1020,1;87424;-22
1032,1;87420;0
1038,1;87411;-139
1044,1;87407;-8
1050,1;87416;0
1056,1;87420;-15
1068,1;87411;7
1074,1;87407;0
1080,1;87416;-22
1086,1;87420;7
1092,1;87420;29
1104,1;87407;-80
1110,1;87416;-22
1116,1;87424;-15
1122,1;87420;43
1128,1;87411;-8
1140,1;87416;-8
1146,1;87420;-8
1152,1;87420;14
1158,1;87416;-8
1164,1;87420;-37
1176,1;87416;-37
1182,1;87416;7
1188,1;87416;-59
1194,1;87420;-44
1200,1;87420;-22
1212,1;87420;-8
1218,1;87424;-22
1224,1;87424;43
1230,1;87420;0
1236,1;87420;21
1248,1;87416;-22
1254,1;87420;-37
1260,1;87420;-59
1266,1;87424;-8
1272,1;87420;-8
1284,1;87424;-44
1290,1;87420;14
1296,1;87420;-22
1302,1;87420;-22
1308,1;87420;-30
1320,1;87424;-15
1326,1;87420;0
1332,1;87420;-59
1338,1;87429;-37
1344,1;87420;7
1356,1;87420;-22
1362,1;87424;-30
1368,1;87424;0
1374,1;87424;-22
1380,1;87424;-22
1392,1;87424;-30
1404,1;87424;-22
1420,1;87420;-30
1428,1;87424;14
1440,1;87424;-37
1446,1;87424;0
1452,1;87420;-22
1464,1;87424;-30
1470,1;87424;-22
1476,1;87424;-51
1482,1;87424;0
1488,1;87424;7
1500,1;87424;0
1506,1;87424;36
1512,1;87420;-8
1518,1;87424;-37
1524,1;87424;-8
1536,1;87429;-22
1542,1;87420;-22
1548,1;87424;0
1554,1;87424;0
1560,1;87420;7
1572,1;87420;0
1578,1;87424;0
1584,1;87424;-30
1590,1;87424;-22
1596,1;87429;-44
1608,1;87424;7
1614,1;87420;-8
1620,1;87429;-22
1626,1;87424;36
1632,1;87424;-59
1644,1;87424;0
1650,1;87424;36
1656,1;87424;-22
1662,1;87420;-8
1668,1;87424;21
1680,1;87424;-8
1686,1;87424;0
1692,1;87424;-51
1698,1;87429;-30
1704,1;87424;-44
1716,1;87420;36
1722,1;87420;-30
1728,1;87424;-8
1734,1;87420;-66
1740,1;87424;-66
1752,1;87420;-139
1758,1;87424;-44
1764,1;87424;29
1770,1;87424;-22
1776,1;87424;43
1788,1;87429;0
1794,1;87424;0
1800,1;87429;-8
1806,1;87429;14
1812,1;87429;-15
1824,1;87424;-73
1830,1;87429;0
1836,1;87429;-8
1842,1;87429;-8
1848,1;87429;-44
