
12/06/2018;16:35:01

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87416;0
10,1;87416;-15
11,1;87416;-37
23,1;87416;-22
29,1;87416;-22
35,1;87416;-59
41,1;87416;0
47,1;87416;-8
59,1;87416;0
65,1;87420;21
71,1;87416;7
77,1;87416;-30
83,1;87416;-37
95,1;87416;-30
101,1;87416;36
107,1;87416;-8
113,1;87411;-51
119,1;87416;58
131,1;87411;7
138,1;87411;-22
143,1;87420;58
149,1;87411;7
155,1;87411;29
167,1;87411;-8
173,1;87416;7
179,1;87416;7
185,1;87411;0
191,1;87416;14
203,1;87411;79
209,1;87416;-37
215,1;87411;-30
221,1;87416;7
227,1;87411;-8
239,1;87416;0
245,1;87411;-51
251,1;87416;-139
257,1;87416;-37
263,1;87416;-30
275,1;87411;14
281,1;87416;-30
287,1;87411;-8
293,1;87416;14
299,1;87416;-73
311,1;87411;14
317,1;87411;-8
323,1;87411;-80
329,1;87411;-22
335,1;87411;7
347,1;87416;65
353,1;87411;-8
359,1;87416;-15
365,1;87416;-37
371,1;87411;-15
383,1;87416;36
389,1;87411;7
416,1;87416;36
419,1;87411;7
437,1;87416;0
443,1;87416;-22
449,1;87411;7
455,1;87416;-8
467,1;87416;0
473,1;87416;-15
479,1;87416;-15
485,1;87416;-15
491,1;87416;-22
503,1;87416;36
509,1;87416;-124
515,1;87416;-51
521,1;87416;-22
527,1;86721;-1062
545,1;68264;-1193
551,1;56210;-1244
557,1;40855;-1179
563,1;22438;-1259
575,1;-11610;0
587,1;1740;58
593,1;8670;-611
605,1;19770;-590
634,1;24363;-502
635,1;24095;-342
650,1;16338;-502
666,1;900;-459
671,1;-5581;-524
677,1;-7699;-51
689,1;-1239;50
712,1;14493;-131
713,1;15257;-30
719,1;19911;0
725,1;24706;-44
737,1;35050;21
744,1;40645;72
749,1;46032;-30
755,1;51648;14
761,1;57559;0
773,1;69815;43
779,1;76262;79
785,1;82428;-15
791,1;87618;0
797,1;86040;-15
809,1;85970;0
815,1;86233;0
821,1;86501;-124
827,1;87064;-110
833,1;87341;14
845,1;87314;-44
851,1;87420;0
857,1;87429;-8
863,1;87433;-51
869,1;87420;-44
881,1;87446;-37
887,1;87420;-44
893,1;87424;-30
899,1;87424;-37
905,1;87424;-8
917,1;87433;-22
923,1;87437;0
929,1;87429;-8
935,1;87433;7
941,1;87433;21
953,1;87429;0
959,1;87420;-8
965,1;87429;-37
971,1;87433;-73
977,1;87433;-8
989,1;87424;-22
995,1;87433;-44
1001,1;87433;0
1007,1;87433;-8
1013,1;87433;-44
1025,1;87437;-59
1031,1;87433;-37
1037,1;87437;-30
1043,1;87433;-22
1049,1;87429;-22
1061,1;87433;-8
1068,1;87442;7
1073,1;87433;-51
1079,1;87424;-30
1085,1;87433;-8
1097,1;87437;36
1103,1;87433;-8
1109,1;87429;-22
1115,1;87433;-37
1121,1;87433;-8
1133,1;87437;-8
1139,1;87433;7
1145,1;87429;0
1151,1;87433;36
1180,1;87433;-44
1181,1;87433;-30
1193,1;87433;0
1199,1;87437;29
1211,1;87429;-44
1217,1;87437;-37
1223,1;87429;-22
1229,1;87437;7
1235,1;87433;7
1247,1;87433;-8
1253,1;87433;21
1259,1;87437;-8
1265,1;87437;-8
1271,1;87433;-30
1283,1;87433;21
1289,1;87437;29
1295,1;87433;14
1301,1;87437;-15
1307,1;87437;-59
1319,1;87437;0
1325,1;87437;-8
1331,1;87433;-59
1338,1;87437;7
1343,1;87433;-22
1355,1;87437;-30
1361,1;87433;-15
1367,1;87442;43
1373,1;87433;0
1379,1;87437;0
1391,1;87433;14
1397,1;87433;0
1403,1;87437;-22
1409,1;87437;-44
1415,1;87437;-8
1427,1;87433;-8
1433,1;87433;-8
1439,1;87433;0
1445,1;87437;-37
1451,1;87433;-8
1463,1;87437;-8
1469,1;87437;-30
1475,1;87433;-22
1481,1;87433;-59
1487,1;87429;14
1499,1;87437;-8
1505,1;87433;-8
1511,1;87433;0
1517,1;87433;0
1523,1;87437;-30
1535,1;87433;-30
1541,1;87437;-37
1547,1;87433;-73
1553,1;87437;-15
1559,1;87433;-37
1571,1;87437;36
1577,1;87437;7
1583,1;87433;-30
1589,1;87437;-22
1595,1;87437;-8
1607,1;87437;29
1613,1;87429;-37
1619,1;87433;7
1625,1;87437;-37
1631,1;87442;-44
1643,1;87437;-51
1649,1;87437;0
1655,1;87437;14
1661,1;87437;0
1667,1;87433;-44
1679,1;87437;0
1685,1;87437;0
1691,1;87437;0
1697,1;87437;0
1703,1;87433;-66
1715,1;87437;7
1721,1;87437;7
1727,1;87433;14
1733,1;87433;-80
1739,1;87437;-73
1751,1;87437;-8
1757,1;87433;-22
1763,1;87437;-30
1769,1;87437;-37
1775,1;87433;-37
1787,1;87437;-8
1793,1;87442;0
1799,1;87437;-37
1805,1;87433;7
1811,1;87437;0
1823,1;87437;-8
1829,1;87433;-44
1835,1;87437;0
