
12/06/2018;16:38:10

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87437;-51
11,1;87437;-37
16,1;87442;7
28,1;87437;-37
34,1;87437;-8
40,1;87442;-8
46,1;87437;-22
52,1;87442;-22
64,1;87437;-37
70,1;87437;0
76,1;87437;-22
82,1;87437;0
88,1;87437;0
101,1;87437;0
106,1;87437;0
112,1;87442;-22
118,1;87437;0
124,1;87437;0
136,1;87437;-15
142,1;87446;7
148,1;87437;43
154,1;87442;0
160,1;87442;0
172,1;87437;7
178,1;87433;-8
184,1;87442;0
190,1;87437;-8
196,1;87437;0
208,1;87437;-8
214,1;87437;-8
220,1;87437;0
226,1;87437;-22
232,1;87437;-8
244,1;87437;-8
250,1;87437;-8
256,1;87437;7
262,1;87437;-8
268,1;87442;0
280,1;87442;0
286,1;87442;-22
292,1;87437;-8
298,1;87437;-15
304,1;87437;-51
317,1;87437;-37
322,1;87437;0
328,1;87437;-8
334,1;87437;-22
340,1;87437;-30
352,1;87437;-44
358,1;87437;-51
364,1;87442;-139
370,1;87437;-44
376,1;87442;-59
388,1;87437;-22
394,1;87437;-8
400,1;87437;36
406,1;87442;-30
412,1;87442;-37
424,1;87437;21
430,1;87442;-37
436,1;87437;-37
442,1;87437;7
448,1;87437;7
460,1;87433;-51
466,1;87437;-22
478,1;87437;0
510,1;87437;7
514,1;87437;-8
520,1;87437;-37
526,1;87442;-8
532,1;87437;7
544,1;87437;-37
550,1;87442;-22
556,1;87437;21
562,1;87437;-15
568,1;87437;7
580,1;86897;-1259
592,1;75563;-1833
598,1;63514;-1280
604,1;48282;-917
651,1;5941;7
668,1;17455;14
681,1;27013;-8
688,1;32976;-8
694,1;37779;21
701,1;42815;21
706,1;47720;-95
712,1;52642;43
724,1;63421;-44
730,1;69024;-44
736,1;74869;0
742,1;80714;14
748,1;86805;50
760,1;85596;-22
766,1;85649;0
772,1;85715;36
778,1;85979;-190
784,1;86585;-44
796,1;87354;-8
802,1;87284;-59
808,1;87363;0
814,1;87398;-15
820,1;87354;-37
832,1;87376;-22
838,1;87345;7
844,1;87398;-8
850,1;87394;-8
856,1;87389;14
868,1;87402;7
874,1;87407;29
880,1;87367;7
886,1;87372;-59
892,1;87385;-22
904,1;87407;-8
910,1;87385;7
916,1;87380;-8
922,1;87380;7
928,1;87411;-37
940,1;87394;36
946,1;87380;0
952,1;87380;79
958,1;87411;-22
964,1;87416;-8
976,1;87394;7
982,1;87385;-22
988,1;87402;-51
994,1;87416;-30
1000,1;87407;-8
1012,1;87389;0
1018,1;87394;-37
1024,1;87411;43
1030,1;87402;21
1036,1;87407;-8
1048,1;87394;-37
1054,1;87407;-8
1060,1;87411;7
1066,1;87407;-30
1072,1;87394;0
1084,1;87407;0
1090,1;87407;0
1096,1;87407;0
1102,1;87407;-15
1108,1;87402;-30
1120,1;87402;0
1126,1;87411;-37
1132,1;87407;50
1138,1;87402;21
1144,1;87402;-44
1156,1;87407;14
1162,1;87416;-37
1168,1;87411;-44
1174,1;87407;0
1180,1;87402;-44
1192,1;87407;7
1198,1;87411;-8
1204,1;87411;0
1210,1;87407;-66
1216,1;87407;0
1228,1;87407;7
1240,1;87411;0
1259,1;87416;-44
1306,1;87411;0
1321,1;87411;-30
1329,1;87416;-15
1330,1;87411;36
1342,1;87411;-30
1348,1;87411;-66
1354,1;87402;-8
1360,1;87407;-22
1366,1;87411;-44
1378,1;87411;-22
1384,1;87411;-22
1390,1;87416;-8
1396,1;87416;14
1402,1;87411;-59
1414,1;87407;-8
1420,1;87411;-30
1426,1;87407;0
1432,1;87411;-22
1438,1;87411;0
1450,1;87411;-8
1456,1;87416;-15
1462,1;87411;-73
1468,1;87416;36
1474,1;87411;-37
1486,1;87407;-51
1492,1;87407;36
1498,1;87411;0
1504,1;87416;-59
1510,1;87411;-117
1522,1;87416;-44
1528,1;87416;-8
1534,1;87411;-51
1540,1;87411;-30
1546,1;87411;21
1558,1;87411;-22
1564,1;87416;-124
1570,1;87411;-51
1576,1;87411;-15
1582,1;87416;0
1594,1;87416;65
1600,1;87416;-44
1606,1;87416;-22
1612,1;87411;-30
1618,1;87416;-44
1630,1;87416;-22
1636,1;87416;-8
1642,1;87416;-8
1648,1;87416;-22
1654,1;87411;-30
1666,1;87416;0
1672,1;87407;0
1678,1;87416;-44
1684,1;87411;-22
1690,1;87416;-8
1702,1;87411;-8
1708,1;87411;-44
1714,1;87416;-22
1721,1;87416;-59
1726,1;87416;-8
1738,1;87407;0
1744,1;87416;-59
1750,1;87411;0
1756,1;87416;-30
1762,1;87416;7
1774,1;87416;-8
1780,1;87411;14
1786,1;87416;-30
1792,1;87420;0
1798,1;87411;-44
1810,1;87416;-8
1816,1;87416;0
1822,1;87416;21
1828,1;87416;7
1834,1;87416;-37
1846,1;87416;-44
