
12/06/2018;16:34:04

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87455;0
7,1;87455;0
13,1;87455;-30
19,1;87455;-30
25,1;87455;-30
31,1;87455;7
43,1;87455;21
49,1;87455;-37
55,1;87455;0
61,1;87455;-22
67,1;87451;-22
79,1;87455;-66
85,1;87455;-51
91,1;87455;21
97,1;87455;7
103,1;87455;0
115,1;87455;0
121,1;87455;0
127,1;87455;-59
133,1;87455;-22
139,1;87451;-15
151,1;87459;-8
157,1;87455;0
163,1;87455;-30
169,1;87455;21
175,1;87459;-22
187,1;87455;0
193,1;87455;0
199,1;87455;0
205,1;87455;-44
211,1;87455;-8
223,1;87455;-102
229,1;87455;-22
235,1;87455;-51
241,1;87455;21
247,1;87455;7
259,1;87455;-8
280,1;87455;-22
283,1;87455;-95
301,1;87455;-66
307,1;87455;-8
313,1;87455;-8
319,1;87459;-37
325,1;87455;-22
337,1;87455;-95
343,1;87459;-30
349,1;87459;0
355,1;87455;-15
361,1;87455;-37
373,1;87455;-37
379,1;87455;7
385,1;87455;0
391,1;87455;-66
397,1;87455;0
409,1;87455;-8
415,1;87455;-44
421,1;87455;0
427,1;87455;-30
433,1;87451;29
445,1;87455;-51
451,1;87455;14
457,1;87455;-37
463,1;87455;-66
469,1;87455;0
481,1;87455;-22
487,1;87451;-51
493,1;87455;-59
499,1;87455;-30
505,1;87451;-37
517,1;87455;0
523,1;87455;-44
529,1;87455;-59
535,1;87451;7
541,1;87459;-44
553,1;87455;-22
559,1;87455;-8
565,1;87459;-51
571,1;87455;0
577,1;87455;0
589,1;87455;-44
595,1;87459;0
601,1;87455;-44
607,1;87455;36
613,1;87455;-30
625,1;87459;-22
631,1;87451;0
637,1;87455;0
643,1;87455;58
649,1;87455;-22
661,1;87455;-22
667,1;87455;-22
673,1;87459;-8
679,1;87455;-8
685,1;87336;-975
717,1;49609;-560
721,1;40645;-437
727,1;28177;-597
733,1;14066;-517
739,1;-593;-546
745,1;-9461;0
757,1;-922;0
763,1;3788;-66
795,1;32062;-73
802,1;38667;58
805,1;41304;0
811,1;47416;-73
823,1;59453;7
829,1;65917;0
835,1;72509;-15
841,1;79075;29
847,1;86009;-80
859,1;85552;21
865,1;85592;-110
871,1;85675;-22
877,1;85855;58
883,1;86405;-15
895,1;87402;-44
901,1;87350;-8
907,1;87398;-30
913,1;87424;7
919,1;87363;-8
931,1;87429;-8
937,1;87394;-66
943,1;87420;0
949,1;87433;-37
955,1;87437;-51
967,1;87433;-8
973,1;87437;-37
979,1;87424;7
985,1;87420;-22
991,1;87429;7
1003,1;87442;-8
1009,1;87429;-110
1015,1;87429;-30
1027,1;87437;-51
1060,1;87442;-44
1063,1;87437;-44
1075,1;87433;-8
1081,1;87433;29
1093,1;87437;36
1099,1;87433;-37
1105,1;87429;14
1111,1;87429;-8
1117,1;87429;-22
1129,1;87433;0
1135,1;87433;-8
1141,1;87433;0
1147,1;87433;-22
1153,1;87437;-37
1165,1;87442;-59
1171,1;87433;-15
1177,1;87433;-44
1183,1;87437;-30
1189,1;87437;-22
1201,1;87437;-51
1207,1;87442;7
1213,1;87446;-22
1219,1;87437;-15
1225,1;87437;-22
1237,1;87433;-30
1243,1;87437;-8
1249,1;87433;0
1255,1;87442;-8
1261,1;87437;-8
1273,1;87437;0
1279,1;87442;-30
1285,1;87437;-44
1291,1;87442;-8
1297,1;87437;0
1309,1;87433;-51
1315,1;87437;7
1321,1;87437;7
1327,1;87442;0
1333,1;87437;0
1345,1;87437;29
1351,1;87437;-37
1357,1;87442;-30
1363,1;87442;-22
1369,1;87442;58
1381,1;87437;0
1387,1;87437;21
1393,1;87437;14
1399,1;87437;-8
1405,1;87442;-30
1417,1;87437;-80
1423,1;87437;36
1429,1;87442;36
1435,1;87442;29
1441,1;87437;-8
1453,1;87433;-22
1459,1;87437;-51
1465,1;87442;-44
1471,1;87437;14
1477,1;87442;-30
1489,1;87437;-73
1495,1;87437;-15
1501,1;87437;-44
1507,1;87437;-73
1517,1;87437;-15
1525,1;87442;-51
1531,1;87437;14
1537,1;87437;0
1543,1;87437;-73
1549,1;87437;-22
1561,1;87437;0
1567,1;87433;-30
1573,1;87433;-15
1579,1;87437;-37
1585,1;87437;21
1597,1;87442;-8
1603,1;87437;-44
1609,1;87437;-80
1615,1;87437;0
1621,1;87437;-22
1633,1;87437;-37
1639,1;87442;-22
1645,1;87437;0
1651,1;87437;-44
1657,1;87442;-22
1669,1;87442;-73
1675,1;87437;0
1681,1;87437;0
1687,1;87442;36
1693,1;87442;0
1705,1;87437;-80
1711,1;87442;-30
1717,1;87442;-8
1723,1;87442;0
1729,1;87442;7
1741,1;87442;-22
1747,1;87442;-22
1753,1;87442;-37
1759,1;87442;0
1765,1;87442;-8
1777,1;87437;0
1783,1;87437;7
1809,1;87437;-37
1819,1;87442;-30
1831,1;87442;-15
1837,1;87437;-22
1843,1;87442;-30
