
12/06/2018;16:32:36

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87451;-8
5,1;87451;-37
31,1;87446;-37
35,1;87451;-8
53,1;87446;-44
59,1;87446;36
65,1;87446;0
71,1;87451;-22
78,1;87451;21
89,1;87446;-30
95,1;87451;-22
101,1;87446;-22
107,1;87451;-37
113,1;87446;-51
125,1;87451;-37
131,1;87446;-8
137,1;87451;-22
143,1;87451;-73
149,1;87451;-8
161,1;87446;-8
167,1;87451;0
173,1;87451;0
179,1;87446;0
185,1;87446;21
197,1;87455;-8
203,1;87451;-22
209,1;87451;-22
215,1;87446;58
221,1;87446;-44
233,1;87451;-66
239,1;87451;0
245,1;87451;-30
251,1;87446;-8
257,1;87451;-44
269,1;87446;-51
275,1;87451;-37
281,1;87451;0
287,1;87446;-8
293,1;87451;-30
305,1;87451;-37
311,1;87455;-15
317,1;87451;29
323,1;87451;-22
329,1;87451;-80
341,1;87446;-59
347,1;87451;-22
353,1;87446;0
359,1;87446;7
365,1;87446;-8
377,1;87451;-37
383,1;87446;-37
389,1;87446;-22
395,1;87451;7
401,1;87451;-37
413,1;87446;0
419,1;87451;-146
425,1;87451;0
431,1;87451;-37
437,1;87446;-131
449,1;87455;-22
455,1;87446;7
461,1;87446;0
467,1;87446;-37
473,1;87446;-51
485,1;87446;7
491,1;87451;21
497,1;87446;-15
503,1;87446;21
509,1;87446;-22
521,1;87446;0
527,1;87451;-37
533,1;87446;0
539,1;87446;0
545,1;87451;-8
557,1;87451;0
563,1;87446;-66
569,1;87446;-37
575,1;87451;-8
581,1;87451;-15
593,1;87446;-8
599,1;86805;-844
611,1;79853;-880
624,1;63619;-844
635,1;41484;-699
641,1;27457;-706
647,1;12142;-633
653,1;-4187;-910
659,1;-9610;-30
677,1;6530;-8
683,1;12445;-22
702,1;31306;-80
713,1;43180;0
719,1;49658;-37
731,1;62780;50
749,1;83478;0
755,1;86651;-22
767,1;85042;-22
773,1;85064;-22
779,1;85385;65
791,1;86493;-44
797,1;87525;-30
803,1;87411;-30
809,1;87433;0
815,1;87332;-66
827,1;87407;-51
833,1;87416;-22
839,1;87398;-44
845,1;87437;0
851,1;87442;-22
863,1;87433;7
869,1;87433;-37
875,1;87437;-8
881,1;87429;-22
887,1;87429;0
899,1;87433;-22
905,1;87442;-102
911,1;87433;-15
917,1;87429;-37
923,1;87433;-8
935,1;87437;0
941,1;87433;0
947,1;87429;-22
953,1;87424;14
959,1;87433;-8
971,1;87433;-44
977,1;87433;-8
983,1;87429;-15
989,1;87437;-8
995,1;87437;-8
1007,1;87433;-8
1013,1;87429;-37
1019,1;87433;-37
1025,1;87437;-44
1031,1;87437;7
1043,1;87433;0
1049,1;87433;-8
1055,1;87437;-37
1061,1;87437;0
1067,1;87437;21
1079,1;87429;-22
1085,1;87437;-37
1091,1;87437;-8
1097,1;87437;-30
1103,1;87437;-44
1115,1;87433;0
1121,1;87433;-44
1127,1;87433;43
1133,1;87437;14
1139,1;87437;-66
1151,1;87433;-8
1157,1;87433;-22
1163,1;87437;7
1169,1;87437;-146
1175,1;87433;-59
1187,1;87437;0
1193,1;87437;-51
1199,1;87442;-30
1205,1;87442;-30
1211,1;87433;-30
1223,1;87437;-44
1229,1;87437;0
1235,1;87437;-37
1241,1;87437;-22
1247,1;87433;58
1259,1;87437;0
1265,1;87437;0
1271,1;87437;21
1277,1;87437;-37
1283,1;87433;-8
1295,1;87437;-8
1301,1;87437;7
1307,1;87433;-37
1313,1;87442;21
1319,1;87437;-30
1331,1;87437;7
1337,1;87437;-22
1343,1;87437;36
1349,1;87437;0
1355,1;87437;21
1367,1;87437;0
1373,1;87433;7
1379,1;87437;-44
1385,1;87437;0
1391,1;87437;-30
1403,1;87437;-51
1409,1;87437;-73
1415,1;87437;-44
1421,1;87437;7
1427,1;87437;-22
1439,1;87437;0
1445,1;87437;-22
1451,1;87437;-22
1457,1;87437;-66
1463,1;87437;-8
1475,1;87429;-30
1481,1;87442;36
1487,1;87437;-59
1513,1;87437;0
1517,1;87437;-37
1529,1;87437;-22
1535,1;87437;-37
1547,1;87437;0
1553,1;87437;-22
1559,1;87437;0
1565,1;87437;0
1571,1;87437;0
1583,1;87437;-110
1589,1;87442;-44
1595,1;87442;-15
1601,1;87442;-22
1607,1;87437;14
1619,1;87437;0
1625,1;87433;-59
1631,1;87433;14
1637,1;87437;-51
1643,1;87442;-8
1655,1;87437;-59
1661,1;87442;-66
1667,1;87437;-22
1673,1;87437;7
1679,1;87437;-22
1691,1;87437;7
1697,1;87437;-37
1703,1;87437;-44
1709,1;87437;29
1715,1;87446;-51
1727,1;87437;50
1733,1;87437;0
1739,1;87433;-44
1745,1;87437;-66
1751,1;87437;-37
1763,1;87433;-8
1769,1;87442;-51
1775,1;87437;0
1781,1;87437;-8
1787,1;87433;-15
1799,1;87433;0
1805,1;87437;14
1811,1;87437;-51
1817,1;87437;-30
1823,1;87437;7
1835,1;87437;0
1841,1;87442;0
1847,1;87433;-110
1853,1;87437;-22
1859,1;87437;-95
1871,1;87437;-44
1877,1;87437;-8
1883,1;87437;0
1889,1;87437;-15
1895,1;87437;-8
1907,1;87442;-117
1913,1;87442;-22
1919,1;87437;0
1925,1;87437;-30
1931,1;87437;-8
1943,1;87437;36
