
12/06/2018;16:38:28

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87420;-8
15,1;87416;-8
24,1;87420;-22
30,1;87420;0
36,1;87416;-59
42,1;87416;-59
48,1;87420;-8
60,1;87424;-44
66,1;87420;0
72,1;87420;0
78,1;87416;-44
109,1;87416;-22
114,1;87420;0
138,1;87416;-73
144,1;87424;-51
150,1;87420;-30
156,1;87416;-80
162,1;87420;0
168,1;87416;-8
180,1;87416;-51
186,1;87420;-88
192,1;87416;0
198,1;87420;-8
204,1;87420;-15
216,1;87420;-22
222,1;87420;-22
228,1;87416;-66
234,1;87420;-44
240,1;87420;-37
252,1;87420;29
258,1;87416;7
264,1;87416;0
270,1;87416;14
276,1;87420;-44
288,1;87416;0
294,1;87420;-8
300,1;87416;7
306,1;87416;-59
312,1;87416;-22
324,1;87420;0
330,1;87416;14
336,1;87420;-44
342,1;87420;-146
348,1;87420;0
360,1;87420;-44
366,1;87420;0
372,1;87416;0
378,1;87420;-22
384,1;87416;-22
396,1;87416;-30
402,1;87420;21
408,1;87420;-8
414,1;87416;-22
420,1;87416;-51
432,1;87420;36
438,1;87420;0
444,1;87416;-73
450,1;87420;-8
456,1;87420;-37
468,1;87420;-51
474,1;87416;-30
480,1;87420;0
486,1;87420;-22
492,1;87420;-44
504,1;87416;-44
510,1;87416;-22
516,1;87420;0
522,1;87416;-8
528,1;87416;7
540,1;87416;7
546,1;87416;-30
552,1;87420;-8
558,1;87416;-8
564,1;87420;-117
576,1;87420;-37
582,1;87416;7
588,1;87416;14
594,1;85913;-1586
606,1;70290;-1928
639,1;-6046;-22
642,1;-2680;-44
648,1;2860;21
660,1;13688;58
666,1;18782;65
672,1;23897;-37
678,1;29241;-51
684,1;34466;0
696,1;45136;-73
702,1;50479;29
708,1;55872;0
714,1;61387;29
720,1;67122;-233
732,1;78873;0
738,1;85038;-59
744,1;86686;-51
750,1;85719;-22
756,1;85390;-66
768,1;85605;-73
774,1;86084;-15
780,1;86844;-37
786,1;87367;0
792,1;87358;0
804,1;87354;-8
810,1;87310;-30
816,1;87367;-22
822,1;87385;-8
828,1;87380;-73
840,1;87389;7
846,1;87380;14
873,1;87385;7
876,1;87380;-15
904,1;87380;-37
906,1;87385;-8
912,1;87380;-8
924,1;87380;-153
930,1;87380;-8
936,1;87385;7
942,1;87385;-30
948,1;87389;-22
960,1;87380;0
966,1;87380;-44
972,1;87385;-110
978,1;87389;-15
984,1;87385;-15
996,1;87385;-59
1002,1;87389;0
1008,1;87389;-59
1014,1;87389;-59
1020,1;87385;-30
1032,1;87385;21
1038,1;87385;65
1044,1;87385;0
1050,1;87385;7
1056,1;87389;-59
1068,1;87389;-37
1074,1;87389;-51
1080,1;87389;21
1086,1;87389;-37
1092,1;87389;0
1104,1;87389;-37
1110,1;87389;0
1116,1;87385;21
1122,1;87389;-22
1128,1;87389;7
1140,1;87389;-22
1146,1;87389;0
1152,1;87389;-8
1158,1;87380;-22
1164,1;87389;36
1176,1;87389;-44
1182,1;87389;7
1188,1;87389;-8
1194,1;87389;-37
1200,1;87389;-37
1212,1;87389;21
1218,1;87389;-30
1224,1;87389;0
1230,1;87389;0
1236,1;87389;-22
1248,1;87389;-59
1254,1;87389;-30
1260,1;87385;14
1266,1;87385;43
1272,1;87389;-8
1284,1;87385;-44
1290,1;87385;0
1296,1;87389;-37
1302,1;87394;0
1308,1;87394;-8
1320,1;87385;-8
1326,1;87389;-8
1332,1;87389;36
1338,1;87394;-44
1344,1;87389;-44
1356,1;87389;7
1362,1;87385;-44
1368,1;87389;-117
1374,1;87389;-110
1380,1;87389;-22
1392,1;87389;-59
1398,1;87389;-8
1404,1;87389;0
1410,1;87394;-37
1416,1;87389;7
1428,1;87389;-30
1434,1;87389;-44
1440,1;87385;-59
1446,1;87389;-44
1452,1;87389;0
1464,1;87389;-8
1470,1;87389;-59
1476,1;87394;0
1482,1;87389;-44
1488,1;87389;0
1500,1;87389;-37
1506,1;87389;-8
1512,1;87389;-8
1518,1;87389;-22
1524,1;87389;-44
1536,1;87385;-22
1542,1;87389;0
1548,1;87389;-37
1554,1;87389;-110
1560,1;87389;0
1572,1;87389;-59
1578,1;87389;-44
1584,1;87389;14
1590,1;87389;14
1596,1;87389;0
1608,1;87394;-37
1620,1;87389;-8
1626,1;87389;-22
1632,1;87389;-8
1653,1;87394;-15
1656,1;87389;7
1668,1;87394;0
1674,1;87389;0
1680,1;87389;-8
1686,1;87394;7
1692,1;87394;-51
1698,1;87389;-44
1704,1;87389;-37
1710,1;87389;7
1716,1;87394;-15
1722,1;87389;-8
1728,1;87389;-44
1734,1;87394;-30
1740,1;87389;7
1746,1;87394;-37
