
12/06/2018;16:40:28

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87376;7
19,1;87376;-8
23,1;87376;7
29,1;87376;-22
41,1;87376;0
47,1;87372;-22
53,1;87376;-8
59,1;87376;-22
65,1;87376;-51
77,1;87376;-22
83,1;87372;-37
89,1;87376;-30
95,1;87376;-8
101,1;87376;0
113,1;87376;-8
119,1;87376;-22
125,1;87376;-59
131,1;87376;-22
137,1;87376;-30
149,1;87372;-51
155,1;87372;-8
161,1;87376;-22
167,1;87372;-8
173,1;87372;-37
185,1;87376;-44
191,1;87376;-30
197,1;87376;-8
203,1;87380;0
209,1;87376;0
221,1;87372;0
227,1;87376;0
233,1;87376;-8
239,1;87372;-8
245,1;87376;0
257,1;87376;-8
263,1;87376;-44
269,1;87376;-30
275,1;87376;0
281,1;87376;-30
293,1;87376;-22
299,1;87372;-8
305,1;87372;0
311,1;87372;-8
317,1;87372;0
329,1;87376;-30
335,1;87376;-22
341,1;87376;-30
347,1;87376;-44
353,1;87372;-8
365,1;87372;-22
371,1;87380;-22
377,1;87372;36
383,1;87372;7
389,1;87376;-37
401,1;87376;-30
407,1;87380;-8
413,1;87376;0
419,1;87376;-44
425,1;87380;-30
437,1;87380;-15
449,1;87376;-22
467,1;87376;-51
473,1;87376;-37
491,1;87376;7
497,1;87376;-44
503,1;87376;-22
509,1;87376;-22
521,1;87376;0
527,1;87376;-37
533,1;87380;0
539,1;87372;-37
545,1;87376;-37
557,1;87376;-15
563,1;87376;-8
569,1;87376;0
575,1;87376;-30
581,1;87376;-59
593,1;87376;7
599,1;87376;-8
605,1;87376;-8
611,1;87376;-8
617,1;87376;7
629,1;87376;-44
635,1;87372;-22
641,1;87376;0
647,1;87376;-22
653,1;87380;-44
665,1;87376;21
671,1;87376;-8
677,1;87372;-59
683,1;87376;-51
689,1;87376;7
701,1;87376;14
707,1;87376;-8
713,1;87376;-44
719,1;87376;-37
725,1;87372;0
737,1;87376;-44
743,1;87376;0
749,1;87376;-8
755,1;87376;36
761,1;87376;-30
773,1;87376;-30
779,1;87372;-44
785,1;87376;-22
791,1;87372;0
797,1;87376;21
809,1;87376;-30
815,1;87376;0
821,1;87376;7
827,1;87376;-44
833,1;87376;-80
845,1;87376;-8
851,1;87376;-22
857,1;87376;0
863,1;87376;-15
869,1;87376;-8
881,1;87376;-66
887,1;87376;-8
893,1;87372;0
899,1;87372;-22
905,1;87376;14
917,1;87376;-30
923,1;87376;7
929,1;87376;-37
935,1;87376;7
941,1;87376;-8
953,1;87376;-30
959,1;87376;0
965,1;87372;-15
971,1;87376;-37
977,1;87376;-44
989,1;87372;-51
995,1;87275;-1070
1007,1;78934;-1862
1013,1;67992;-1993
1025,1;31108;-1477
1031,1;5875;-1142
1037,1;-11992;36
1060,1;16312;-8
1067,1;24881;29
1074,1;34448;-8
1079,1;40363;65
1085,1;48124;-22
1091,1;55683;21
1103,1;71468;0
1109,1;79510;-30
1115,1;87600;0
1121,1;85882;0
1127,1;85240;-95
1139,1;85605;-22
1145,1;85746;-51
1151,1;86269;-44
1157,1;87099;-30
1163,1;87363;-51
1175,1;87345;-30
1181,1;87385;-22
1187,1;87354;-37
1193,1;87341;-66
1199,1;87354;0
1211,1;87354;-51
1223,1;87372;-22
1229,1;87358;-15
1247,1;87372;65
1253,1;87372;-22
1259,1;87367;0
1265,1;87367;-37
1271,1;87372;-15
1289,1;87367;-51
1295,1;87372;-22
1301,1;87372;-22
1307,1;87372;-37
1319,1;87372;-8
1325,1;87367;7
1331,1;87372;7
1337,1;87372;7
1343,1;87376;-44
1355,1;87372;0
1361,1;87372;0
1367,1;87372;-22
1373,1;87376;0
1379,1;87372;-153
1391,1;87367;-44
