
12/06/2018;16:35:51

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87424;-15
15,1;87424;-59
27,1;87424;0
33,1;87429;-44
39,1;87424;0
45,1;87424;-30
51,1;87429;-8
63,1;87424;36
69,1;87429;-8
75,1;87424;0
81,1;87424;-22
87,1;87424;-8
99,1;87424;-30
105,1;87424;-15
111,1;87424;-59
117,1;87424;-51
123,1;87429;0
135,1;87424;-30
141,1;87424;-22
147,1;87424;-22
153,1;87429;-37
159,1;87424;0
171,1;87424;-44
177,1;87424;-8
183,1;87424;-44
189,1;87424;-22
195,1;87424;-15
207,1;87424;-30
213,1;87424;0
219,1;87424;-8
225,1;87424;7
231,1;87424;-37
243,1;87424;-22
249,1;87424;-44
255,1;87429;-8
261,1;87424;-8
267,1;87424;-22
279,1;87424;0
285,1;87429;-44
291,1;87429;0
297,1;87429;0
303,1;87429;-8
315,1;87424;0
321,1;87429;-30
327,1;87424;0
333,1;87424;0
339,1;87429;-37
351,1;87429;-44
357,1;87429;14
363,1;87429;0
369,1;87424;0
375,1;87424;29
387,1;87429;-8
393,1;87429;0
405,1;87424;-8
421,1;87429;-8
423,1;87429;-15
435,1;87424;-8
441,1;87429;0
447,1;87424;-22
453,1;87424;-22
459,1;87424;0
465,1;87429;-66
471,1;87429;-22
477,1;87424;-8
483,1;87424;-8
489,1;87424;-30
495,1;87429;-37
501,1;87429;-15
507,1;87424;-8
513,1;87424;0
519,1;87424;7
525,1;87424;-44
531,1;87288;-1179
549,1;74324;-437
555,1;66454;-495
561,1;57260;-568
567,1;46744;-633
573,1;35674;-510
585,1;10678;-495
591,1;-3273;-568
597,1;-9483;-648
603,1;-5923;29
639,1;21366;0
655,1;35107;14
658,1;38153;0
663,1;42653;21
675,1;54672;14
681,1;60767;21
687,1;67249;7
693,1;73691;0
699,1;80521;-22
711,1;86291;-44
717,1;85675;-30
723,1;85776;0
729,1;85996;-8
735,1;86216;-51
747,1;87372;-37
753,1;87424;-8
759,1;87328;0
765,1;87389;-37
771,1;87455;14
783,1;87411;-8
789,1;87402;-30
795,1;87411;-22
801,1;87420;29
807,1;87433;-22
819,1;87433;0
825,1;87433;-37
831,1;87442;-51
837,1;87437;0
843,1;87437;0
855,1;87433;-22
861,1;87433;-15
867,1;87433;-8
873,1;87433;-8
879,1;87437;-8
891,1;87437;7
897,1;87433;-22
903,1;87429;-8
909,1;87433;-8
915,1;87442;36
927,1;87433;-44
933,1;87433;-44
939,1;87429;-8
945,1;87442;21
951,1;87442;-8
963,1;87429;-8
969,1;87433;0
975,1;87442;7
981,1;87442;-37
987,1;87442;-44
999,1;87437;14
1005,1;87437;-8
1011,1;87437;-15
1017,1;87437;-22
1023,1;87442;0
1035,1;87442;-51
1041,1;87437;-37
1047,1;87437;-30
1053,1;87437;-8
1059,1;87437;-8
1071,1;87433;-37
1077,1;87437;0
1083,1;87437;-44
1089,1;87437;-15
1095,1;87437;-22
1107,1;87437;-22
1113,1;87442;36
1119,1;87442;-44
1125,1;87442;-30
1131,1;87437;-15
1143,1;87442;0
1149,1;87437;-73
1155,1;87442;-22
1167,1;87442;-22
1185,1;87442;-30
1191,1;87442;7
1203,1;87442;0
1215,1;87442;-37
1221,1;87442;-131
1227,1;87446;-22
1233,1;87442;0
1239,1;87437;0
1251,1;87442;0
1257,1;87446;-37
1263,1;87446;-37
1269,1;87442;7
1275,1;87437;-30
1287,1;87442;21
1293,1;87442;0
1299,1;87442;-22
1305,1;87442;0
1311,1;87437;-59
1323,1;87437;-44
1329,1;87442;-37
1335,1;87437;7
1341,1;87442;-8
1347,1;87437;-8
1359,1;87442;0
1365,1;87433;-22
1371,1;87442;-22
1377,1;87442;-37
1383,1;87437;0
1395,1;87442;-8
1401,1;87437;-30
1407,1;87437;-8
1413,1;87433;-37
1419,1;87442;-30
1431,1;87446;-8
1437,1;87442;-59
1443,1;87437;-44
1449,1;87442;-30
1455,1;87442;-8
1467,1;87437;-8
1473,1;87437;-8
1479,1;87437;-73
1485,1;87442;0
1491,1;87442;-59
1503,1;87442;0
1509,1;87442;-30
1515,1;87437;-8
1521,1;87442;-37
1527,1;87442;-59
1539,1;87442;0
1545,1;87437;-44
1551,1;87437;-51
1557,1;87437;-8
1563,1;87442;-8
1575,1;87442;-22
1581,1;87442;-8
1587,1;87442;-8
1593,1;87442;0
1599,1;87442;0
1611,1;87442;-37
1617,1;87437;0
1623,1;87442;-30
1629,1;87437;-37
1635,1;87437;-8
1647,1;87446;-15
1653,1;87437;-22
1659,1;87437;-37
1665,1;87442;-37
1671,1;87442;-22
1683,1;87442;0
1689,1;87437;29
1695,1;87442;7
1701,1;87437;43
1707,1;87437;-15
1719,1;87437;-51
1725,1;87442;7
1731,1;87442;-44
1737,1;87442;0
1743,1;87442;-22
1755,1;87442;0
1761,1;87437;0
