
12/06/2018;16:10:23

Y1:Position actual value [p-unit] / Y2:Torque actual value [I_N/1000]
t[ms];Y1[Position actual value [p-unit]];Y2[Torque actual value [I_N/1000]]
0,1;87442;-30
6,1;87446;7
8,1;87446;0
14,1;87446;0
20,1;87446;-44
26,1;87446;-59
32,1;87446;-8
38,1;87446;-8
44,1;87442;7
50,1;87437;7
56,1;87446;-8
62,1;87442;-37
68,1;87446;-22
74,1;87446;-37
80,1;87442;0
86,1;87446;-8
92,1;87446;0
98,1;87442;0
104,1;87446;0
110,1;87446;-8
116,1;87446;0
122,1;87446;21
128,1;87442;-8
134,1;87442;14
140,1;87446;-22
146,1;87442;7
172,1;87446;-30
176,1;87446;-15
194,1;87442;-8
200,1;87446;0
206,1;87446;-8
212,1;87446;-8
218,1;87446;-8
230,1;87446;0
236,1;87442;0
242,1;87446;-8
248,1;87446;0
254,1;87446;-15
266,1;87446;-8
272,1;87446;-8
278,1;87442;0
284,1;87446;36
290,1;87442;-8
302,1;87446;0
308,1;87446;-22
314,1;87446;0
320,1;87442;0
326,1;87442;-8
338,1;87451;-8
344,1;87442;0
350,1;87442;-8
356,1;87442;-22
362,1;87446;7
374,1;87446;0
380,1;87446;0
386,1;87446;14
392,1;87442;79
398,1;87442;7
410,1;87446;0
416,1;87446;0
422,1;87446;0
428,1;87446;-37
434,1;87446;-8
446,1;87442;7
452,1;87446;29
458,1;87446;0
464,1;87442;-51
470,1;87446;-30
482,1;87446;-22
488,1;87446;7
494,1;87446;-22
500,1;87442;-22
506,1;87446;-8
518,1;87446;36
524,1;87442;-22
530,1;87446;-44
536,1;87451;0
542,1;87446;-8
554,1;87437;0
560,1;87446;21
566,1;87446;0
572,1;87442;-8
578,1;87446;-37
590,1;87442;0
596,1;87446;0
602,1;87442;14
608,1;87446;0
614,1;87446;0
626,1;87442;-8
632,1;87394;-437
655,1;81962;-219
662,1;78960;-299
674,1;71863;-277
680,1;67491;-335
686,1;62648;-342
692,1;57234;-277
698,1;51301;-386
710,1;38157;-255
716,1;30897;-240
722,1;23084;-299
728,1;15227;-299
734,1;6710;-400
746,1;-7606;-59
758,1;-3023;-44
764,1;373;29
796,1;23458;0
812,1;36870;-22
818,1;42429;-15
824,1;48370;-30
830,1;54500;-8
842,1;67073;-22
848,1;73713;21
854,1;80613;-22
860,1;87987;-51
866,1;86080;-15
886,1;85552;0
891,1;85833;-8
896,1;86207;50
902,1;87060;0
