
12/06/2018;12:23:11

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
723,1;-30;87380
729,1;-37;87380
735,1;0;87380
747,1;-15;87380
753,1;7;87376
759,1;36;87376
765,1;-8;87380
771,1;-30;87376
783,1;-30;87380
789,1;-30;87376
795,1;0;87376
801,1;7;87376
807,1;0;87376
819,1;-8;87380
825,1;-8;87380
831,1;21;87380
837,1;-30;87385
843,1;-30;87385
855,1;7;87380
861,1;-8;87380
867,1;-51;87380
873,1;7;87380
879,1;-30;87380
891,1;43;87380
897,1;29;87380
903,1;-8;87376
909,1;-8;87376
915,1;-30;87380
927,1;-51;87376
933,1;-37;87376
939,1;0;87376
945,1;0;87376
951,1;-8;87380
963,1;-8;87380
969,1;0;87380
975,1;-8;87376
981,1;7;87380
987,1;0;87385
999,1;14;87380
1005,1;21;87376
1011,1;-15;87380
1017,1;7;87376
1023,1;7;87380
1035,1;43;87380
1041,1;7;87380
1047,1;-15;87380
1053,1;7;87380
1059,1;7;87385
1071,1;-30;87376
1077,1;-8;87376
1089,1;7;87380
1107,1;-30;87380
1113,1;-15;87380
1125,1;0;87380
1131,1;-8;87385
1143,1;0;87380
1149,1;-37;87376
1155,1;14;87376
1161,1;7;87380
1167,1;-8;87380
1179,1;29;87376
1185,1;7;87376
1191,1;-8;87380
1197,1;0;87380
1203,1;-22;87380
1215,1;-44;87376
1221,1;0;87376
1227,1;-30;87380
1233,1;-8;87385
1239,1;14;87376
1251,1;0;87376
1257,1;-44;87380
1263,1;36;87380
1269,1;-8;87380
1275,1;43;87380
1287,1;0;87380
1293,1;7;87380
1299,1;43;87376
1305,1;43;87380
1311,1;-30;87372
1323,1;-30;87380
1329,1;-8;87376
1335,1;-8;87380
1341,1;-59;87380
1347,1;-51;87380
1359,1;7;87380
1365,1;14;87380
1371,1;0;87380
1377,1;-44;87380
1383,1;7;87376
1395,1;7;87385
1401,1;0;87376
1407,1;7;87380
1413,1;43;87380
1419,1;-95;87380
1431,1;-22;87380
1437,1;-30;87380
1443,1;-37;87380
1449,1;0;87376
1455,1;7;87385
1467,1;0;87376
1473,1;21;87376
1479,1;-66;87380
1485,1;21;87380
1491,1;-495;87301
1509,1;-953;81641
1529,1;-539;59339
1533,1;-539;52642
1539,1;-524;42257
1551,1;-524;18918
1557,1;-568;5668
1563,1;-531;-6679
1569,1;-553;-8288
1575,1;-15;-3643
1593,1;14;12682
1607,1;0;26248
1611,1;-8;30783
1617,1;-22;37217
1629,1;14;50585
1635,1;-15;57563
1641,1;-37;64872
1647,1;29;72096
1653,1;0;79576
1665,1;0;86062
1671,1;-66;85390
1677,1;7;85535
1683,1;-15;85715
1689,1;7;85904
1701,1;-66;87442
1707,1;7;87323
1713,1;0;87288
1719,1;29;87354
1725,1;0;87398
1737,1;50;87341
1743,1;14;87367
1749,1;29;87376
1755,1;0;87358
1761,1;-37;87363
1773,1;0;87376
1779,1;29;87376
1785,1;43;87376
1791,1;29;87372
1797,1;0;87372
1809,1;7;87376
1815,1;7;87376
1821,1;-8;87372
1827,1;7;87372
1833,1;-37;87380
1845,1;-44;87380
1872,1;7;87376
1875,1;-15;87376
1893,1;-30;87372
1899,1;-30;87367
1905,1;-30;87380
1911,1;0;87380
1923,1;29;87376
1929,1;-30;87380
1935,1;-37;87376
1941,1;43;87372
1947,1;-22;87380
1959,1;7;87372
1965,1;58;87372
1971,1;-8;87372
1977,1;36;87380
1983,1;0;87376
1995,1;-8;87372
2001,1;58;87376
2007,1;-15;87376
2013,1;7;87380
2019,1;0;87376
2031,1;-8;87376
2037,1;-8;87376
2043,1;0;87376
2049,1;0;87376
2055,1;-8;87380
2067,1;0;87372
2073,1;-110;87372
2079,1;-30;87376
2085,1;0;87372
2091,1;29;87376
2103,1;0;87380
2109,1;0;87376
2115,1;0;87380
2121,1;-22;87380
2127,1;-15;87376
2139,1;-30;87380
2145,1;0;87380
2151,1;29;87380
2157,1;-8;87376
2163,1;-8;87376
2175,1;7;87380
2181,1;7;87380
2187,1;-22;87380
2193,1;7;87376
2199,1;7;87380
2211,1;-8;87376
2217,1;-30;87376
2223,1;-30;87380
2229,1;7;87380
2235,1;0;87380
2247,1;21;87380
2253,1;0;87376
2259,1;7;87380
2265,1;0;87380
2271,1;-22;87380
2283,1;-8;87376
2289,1;7;87380
2295,1;-59;87376
2301,1;-15;87376
2307,1;7;87380
2319,1;-8;87380
2325,1;-37;87380
2331,1;0;87380
2337,1;0;87380
2343,1;-15;87376
2355,1;-30;87376
2361,1;21;87380
2367,1;-37;87376
2373,1;58;87376
2379,1;21;87380
2391,1;-146;87380
2397,1;0;87376
2403,1;14;87376
2409,1;29;87380
2415,1;-37;87380
2427,1;-30;87380
2433,1;0;87380
2439,1;43;87380
2445,1;7;87376
2451,1;-8;87380
2463,1;21;87376
2469,1;-30;87376
2475,1;-30;87380
2481,1;-8;87380
2487,1;7;87380
2499,1;0;87376
2505,1;7;87380
2511,1;7;87376
2517,1;-8;87376
2523,1;-30;87376
2535,1;7;87380
2541,1;14;87380
2547,1;7;87376
2553,1;-37;87376
2559,1;0;87376
2571,1;-30;87376
2577,1;-30;87380
2583,1;7;87380
2589,1;-30;87376
2595,1;0;87376
2607,1;7;87380
2619,1;14;87380
2625,1;-51;87376
2631,1;0;87376
2652,1;7;87380
2655,1;0;87376
2667,1;0;87380
2673,1;65;87376
2679,1;0;87376
2685,1;-37;87380
2691,1;-30;87376
2697,1;29;87380
2703,1;-88;87376
2709,1;0;87376
2715,1;43;87380
2721,1;0;87380
2727,1;43;87380
2733,1;0;87376
2739,1;0;87380
2745,1;21;87376
2751,1;0;87376
2757,1;-88;87376
2763,1;-51;87380
2769,1;-15;87376
2775,1;0;87376
2781,1;-30;87380
2787,1;0;87385
2793,1;14;87376
2799,1;21;87376
2805,1;-8;87380
2811,1;0;87380
2817,1;-8;87376
2823,1;0;87376
2829,1;36;87376
2835,1;0;87376
2841,1;0;87380
2847,1;0;87376
2853,1;-8;87376
2859,1;-22;87380
2865,1;-66;87376
2871,1;-8;87380
2877,1;36;87376
2883,1;-15;87376
2889,1;14;87376
2895,1;-66;87376
2901,1;-8;87376
2907,1;14;87380
2913,1;-88;87376
2919,1;-15;87376
2925,1;0;87380
2931,1;21;87376
2937,1;0;87385
2943,1;-30;87380
2949,1;-37;87380
2955,1;-8;87376
2961,1;-15;87376
2967,1;0;87376
2973,1;-110;87380
2979,1;-30;87376
2985,1;36;87380
2991,1;0;87376
2997,1;21;87380
3003,1;7;87376
3009,1;7;87376
3015,1;21;87380
3021,1;-44;87376
3027,1;-15;87385
3033,1;0;87376
3039,1;-8;87376
3045,1;-8;87376
3051,1;-15;87380
3057,1;-8;87380
3063,1;-8;87376
3069,1;14;87380
3075,1;-30;87380
3081,1;7;87376
3087,1;-88;87380
3093,1;0;87376
3099,1;-15;87380
3105,1;65;87376
3111,1;29;87380
3117,1;-30;87376
3123,1;94;87376
3129,1;14;87376
3135,1;14;87376
3141,1;58;87376
3147,1;7;87376
3153,1;-8;87376
3159,1;-30;87380
3165,1;-8;87380
3171,1;-30;87376
3177,1;36;87380
3183,1;-30;87380
3189,1;-44;87380
3195,1;7;87376
3201,1;0;87380
3207,1;0;87380
3213,1;0;87376
3219,1;-30;87376
3225,1;7;87376
3231,1;7;87376
3237,1;-73;87376
3243,1;29;87376
3249,1;29;87376
3255,1;0;87376
3261,1;7;87376
3267,1;36;87376
3273,1;0;87380
3279,1;29;87380
3285,1;-30;87372
3291,1;-146;87380
3297,1;-22;87376
3303,1;0;87376
