
12/06/2018;12:23:11

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
0,1;-30;87380
9,1;-8;87380
15,1;-80;87380
21,1;-8;87380
27,1;0;87380
33,1;-15;87380
45,1;-124;87380
51,1;-30;87376
57,1;0;87376
63,1;-22;87380
69,1;-22;87380
81,1;43;87380
87,1;-30;87380
93,1;21;87380
99,1;7;87380
105,1;65;87380
117,1;29;87380
123,1;14;87385
129,1;0;87380
135,1;14;87380
141,1;-30;87380
153,1;-30;87376
159,1;36;87376
165,1;0;87380
171,1;14;87380
177,1;-30;87376
189,1;-15;87380
195,1;-59;87376
201,1;-30;87380
207,1;7;87376
213,1;0;87380
225,1;-37;87385
231,1;36;87380
237,1;14;87380
243,1;-146;87385
249,1;-37;87380
261,1;-30;87380
267,1;-30;87380
273,1;-59;87385
279,1;-30;87376
285,1;-44;87376
297,1;7;87376
303,1;0;87376
309,1;0;87380
315,1;-8;87376
327,1;0;87380
359,1;7;87380
363,1;0;87380
375,1;21;87380
387,1;-15;87380
393,1;29;87380
399,1;-30;87380
405,1;-30;87380
411,1;0;87380
423,1;-59;87376
429,1;-22;87380
435,1;21;87380
441,1;0;87376
447,1;-8;87380
459,1;-37;87380
465,1;-8;87376
471,1;0;87380
477,1;14;87380
483,1;-8;87380
495,1;7;87376
501,1;-30;87380
507,1;-30;87376
513,1;-30;87380
519,1;0;87380
531,1;-8;87380
537,1;14;87380
543,1;-37;87380
549,1;21;87380
555,1;-30;87376
567,1;-15;87380
573,1;7;87380
579,1;0;87380
585,1;0;87380
591,1;29;87380
603,1;-8;87385
609,1;-8;87380
615,1;-51;87385
621,1;-22;87380
627,1;43;87385
639,1;21;87380
645,1;-88;87380
651,1;-146;87380
657,1;7;87380
663,1;-30;87380
675,1;-8;87380
681,1;43;87380
687,1;-8;87380
693,1;-66;87376
699,1;-44;87380
711,1;21;87380
717,1;50;87380
