
12/06/2018;12:22:46

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
0,1;7;87380
5,1;-44;87385
13,1;-22;87385
19,1;14;87389
25,1;-8;87385
31,1;-8;87389
37,1;0;87385
55,1;-15;87380
61,1;7;87385
67,1;-8;87385
73,1;0;87385
94,1;-8;87385
97,1;0;87385
109,1;36;87385
121,1;43;87385
127,1;7;87385
133,1;7;87385
139,1;0;87389
145,1;7;87385
157,1;-8;87385
163,1;-30;87385
169,1;-8;87389
175,1;-30;87385
181,1;0;87385
193,1;7;87385
199,1;7;87385
205,1;0;87385
211,1;-8;87385
217,1;29;87385
229,1;0;87385
235,1;-22;87385
241,1;0;87385
247,1;-30;87385
253,1;-8;87380
265,1;0;87385
271,1;43;87385
277,1;29;87380
283,1;-30;87385
289,1;-15;87385
301,1;-8;87385
307,1;-8;87385
313,1;-30;87385
319,1;-30;87380
325,1;7;87385
337,1;58;87385
343,1;-15;87385
349,1;7;87385
355,1;0;87385
361,1;-8;87380
373,1;58;87385
379,1;0;87385
385,1;0;87385
391,1;-110;87385
397,1;-8;87385
409,1;-15;87385
415,1;7;87385
421,1;0;87385
427,1;-37;87385
433,1;-30;87385
445,1;-8;87385
451,1;-30;87389
457,1;-37;87380
463,1;0;87385
469,1;7;87385
481,1;-8;87385
487,1;21;87385
493,1;0;87385
499,1;-8;87385
505,1;29;87380
517,1;0;87380
523,1;-30;87385
529,1;-8;87385
535,1;-15;87385
541,1;-22;87380
553,1;-44;87380
559,1;-66;87380
565,1;-22;87389
571,1;14;87380
577,1;0;87385
589,1;-15;87385
595,1;-8;87385
601,1;0;87389
607,1;-37;87385
613,1;29;87385
625,1;7;87385
631,1;21;87385
637,1;-124;87389
643,1;65;87389
649,1;0;87385
661,1;-15;87380
667,1;-8;87385
673,1;-8;87389
679,1;-8;87385
685,1;-8;87380
697,1;-30;87385
703,1;7;87385
709,1;7;87385
715,1;-8;87385
721,1;-8;87380
733,1;-22;87389
739,1;-30;87385
745,1;-30;87389
751,1;-30;87385
757,1;-73;87389
769,1;7;87380
796,1;-8;87385
799,1;7;87385
