
12/06/2018;12:22:46

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
817,1;0;87385
823,1;0;87385
829,1;7;87385
835,1;21;87385
841,1;-8;87385
853,1;7;87385
859,1;-8;87385
865,1;0;87385
871,1;14;87385
877,1;-59;87385
889,1;-8;87385
895,1;-66;87385
901,1;0;87385
907,1;0;87385
913,1;43;87380
925,1;21;87385
931,1;21;87380
937,1;-30;87380
943,1;7;87385
949,1;-30;87389
961,1;-22;87380
967,1;-8;87385
973,1;-15;87389
979,1;7;87385
985,1;14;87385
997,1;50;87385
1003,1;-30;87385
1009,1;-30;87380
1016,1;43;87380
1021,1;14;87385
1033,1;-575;86194
1045,1;-640;79141
1061,1;-531;60569
1069,1;-590;48133
1075,1;-502;37876
1081,1;-495;26560
1087,1;-466;14269
1093,1;-546;1103
1105,1;-102;-6881
1117,1;-8;4020
1123,1;14;9694
1129,1;21;15684
1135,1;-44;21783
1155,1;0;43154
1159,1;72;48282
1165,1;-8;55177
1171,1;29;62573
1183,1;0;77603
1189,1;-8;85236
1195,1;-15;86466
1201,1;109;85645
1207,1;0;85820
1219,1;0;86172
1225,1;0;86730
1231,1;0;87481
1237,1;36;87262
1243,1;7;87288
1255,1;-30;87385
1261,1;-37;87358
1267,1;7;87363
1273,1;-37;87367
1279,1;-30;87358
1291,1;-8;87376
1297,1;29;87376
1303,1;-8;87380
1309,1;21;87385
1315,1;0;87385
1327,1;65;87376
1333,1;-30;87372
1339,1;65;87380
1345,1;-37;87380
1351,1;0;87380
1363,1;0;87372
1369,1;0;87380
1375,1;-44;87385
1381,1;0;87376
1387,1;-37;87376
1399,1;-8;87380
1405,1;-59;87376
1411,1;29;87380
1417,1;-8;87376
1423,1;-73;87376
1435,1;-8;87376
1441,1;0;87380
1447,1;-8;87380
1453,1;7;87380
1459,1;0;87376
1471,1;0;87380
1477,1;29;87380
1483,1;-30;87376
1489,1;0;87380
1495,1;43;87380
1507,1;-8;87380
1513,1;-30;87385
1519,1;29;87380
1525,1;21;87376
1531,1;7;87376
1561,1;0;87380
1579,1;7;87380
1585,1;7;87385
1591,1;0;87380
1597,1;29;87380
1603,1;0;87376
1615,1;-22;87380
1621,1;7;87385
1627,1;29;87380
1633,1;-8;87376
1640,1;-15;87376
1651,1;0;87385
1657,1;0;87385
1664,1;14;87389
1669,1;-8;87380
1676,1;29;87385
1687,1;-8;87380
1693,1;-44;87385
1699,1;-8;87380
1705,1;-66;87385
1711,1;7;87385
1723,1;21;87380
1729,1;0;87380
1735,1;0;87385
1741,1;-8;87385
1747,1;-8;87385
1759,1;43;87385
1765,1;0;87385
1771,1;21;87385
1777,1;-8;87380
1783,1;-73;87380
1795,1;-66;87380
1801,1;0;87385
1807,1;-37;87380
1813,1;-37;87385
1819,1;29;87385
1831,1;0;87385
1837,1;29;87380
1843,1;0;87385
1849,1;0;87385
1855,1;-22;87380
1867,1;14;87380
1873,1;0;87385
1879,1;-30;87380
1885,1;14;87385
1891,1;-30;87385
1903,1;14;87380
1909,1;-22;87380
1915,1;21;87385
1921,1;43;87385
1927,1;-22;87385
1939,1;-8;87385
1945,1;0;87385
1951,1;0;87385
1957,1;21;87385
1963,1;7;87380
1975,1;7;87380
1981,1;-15;87385
1987,1;-30;87380
1993,1;-8;87385
1999,1;0;87380
2011,1;7;87385
2017,1;29;87385
2023,1;0;87385
2029,1;0;87380
2035,1;7;87385
2047,1;-8;87385
2054,1;-8;87385
2059,1;0;87380
2065,1;0;87385
2071,1;-30;87385
2083,1;7;87385
2089,1;-37;87380
2095,1;29;87380
2102,1;0;87385
2107,1;43;87385
2119,1;-30;87380
