t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]];;
2024,1;0;87389;;
2031,1;-37;87389;;
2036,1;-30;87385;;
2042,1;7;87385;;
2054,1;50;87394;;
2061,1;7;87385;;
2066,1;-8;87385;;
2072,1;0;87385;;
2078,1;-8;87385;;
2090,1;58;87385;;
2096,1;7;87389;;
2102,1;-30;87385;;
2108,1;0;87389;;
2114,1;36;87385;;
2126,1;-30;87389;;
2132,1;-30;87385;;
2138,1;-15;87385;;
2144,1;-124;87385;;
2150,1;7;87385;;
2162,1;-15;87385;;
2168,1;7;87380;;
2174,1;7;87385;;
2180,1;0;87385;;
2186,1;-44;87385;;
2198,1;7;87389;;
2204,1;-15;87385;;
2210,1;-30;87380;;
2216,1;-44;87385;;
2222,1;-22;87385;;
2234,1;-73;87389;;
2240,1;0;87380;;
2246,1;0;87385;;
2252,1;-37;87380;;
2258,1;7;87385;;
2270,1;29;87385;;
2276,1;-37;87385;;
2282,1;21;87385;;
2288,1;-30;87389;;
2294,1;0;87389;;
2306,1;-8;87385;;
2312,1;-15;87380;;
2318,1;0;87385;;
2324,1;43;87385;;
2330,1;-80;87385;;
2342,1;-30;87385;;
2348,1;-15;87385;;
2354,1;21;87385;;
2360,1;-30;87380;;
2366,1;-8;87385;;
2378,1;7;87385;;
2384,1;21;87385;;
2390,1;29;87385;;
