
12/06/2018;12:22:12

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
0,1;-37;87385
21,1;-30;87385
25,1;-15;87385
31,1;7;87385
37,1;29;87380
43,1;29;87389
55,1;-8;87385
61,1;-8;87385
67,1;0;87385
73,1;0;87385
79,1;7;87385
91,1;14;87385
97,1;-15;87380
103,1;-30;87385
109,1;0;87389
115,1;-8;87385
127,1;-59;87385
133,1;0;87389
139,1;-30;87385
145,1;7;87385
151,1;7;87385
163,1;7;87385
169,1;0;87385
175,1;-37;87385
181,1;7;87385
187,1;-22;87385
199,1;0;87380
205,1;-37;87385
211,1;-37;87385
217,1;-8;87380
223,1;0;87385
235,1;0;87385
241,1;-15;87385
247,1;-88;87385
253,1;14;87385
259,1;-22;87380
271,1;29;87380
277,1;-15;87385
283,1;0;87380
289,1;-80;87385
295,1;0;87385
307,1;-30;87385
313,1;0;87380
319,1;7;87385
325,1;-8;87385
331,1;29;87385
343,1;-8;87380
349,1;-66;87385
355,1;-30;87385
361,1;-8;87385
367,1;7;87380
379,1;-30;87389
385,1;-30;87380
391,1;58;87385
397,1;-51;87385
403,1;-8;87385
415,1;-30;87389
421,1;-15;87385
427,1;-8;87385
433,1;7;87385
439,1;0;87385
451,1;21;87385
457,1;-15;87385
463,1;-30;87380
469,1;7;87385
499,1;7;87380
505,1;58;87385
511,1;-15;87385
529,1;-8;87385
535,1;0;87385
541,1;7;87385
547,1;-30;87385
553,1;-22;87385
565,1;72;87385
571,1;-8;87380
577,1;-30;87380
583,1;0;87385
589,1;-15;87385
601,1;0;87380
607,1;-8;87385
613,1;43;87385
619,1;-30;87389
625,1;-95;87385
637,1;-8;87385
643,1;-30;87389
649,1;-8;87380
655,1;-8;87385
661,1;0;87385
673,1;-22;87385
679,1;7;87380
685,1;36;87380
691,1;7;87385
697,1;29;87380
709,1;0;87385
715,1;7;87385
721,1;0;87385
727,1;-30;87385
733,1;7;87385
745,1;7;87385
751,1;-30;87385
757,1;-15;87385
763,1;-37;87385
769,1;-73;87380
781,1;7;87385
787,1;-8;87380
793,1;-8;87385
799,1;14;87385
805,1;-30;87385
817,1;-8;87385
823,1;-8;87389
829,1;7;87385
835,1;-8;87385
841,1;-44;87385
853,1;7;87385
859,1;0;87385
865,1;29;87380
871,1;-30;87385
877,1;0;87385
889,1;-8;87385
895,1;29;87385
901,1;-51;87385
907,1;29;87385
913,1;58;87380
925,1;-8;87385
931,1;-51;87389
937,1;-15;87380
943,1;7;87385
949,1;-22;87385
961,1;0;87380
967,1;29;87385
973,1;-51;87385
979,1;-37;87380
985,1;-8;87380
997,1;0;87385
1003,1;-8;87385
1009,1;21;87385
1015,1;-30;87380
1021,1;21;87385
1033,1;-764;86124
1045,1;-582;78829
1061,1;-531;61659
1063,1;-466;58913
