
13/06/2018;17:12:00

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
1621,1;87433;0;-15;1435
1627,1;87433;1;-37;1439
1633,1;87433;-1;-22;1440
1645,1;87433;1;-30;1439
1651,1;87433;0;-44;1440
1657,1;87433;0;-30;1440
1669,1;87433;1;-15;1441
1675,1;87424;-2;14;1438
1681,1;87433;0;-8;1437
1687,1;87433;0;-8;1440
1699,1;87433;0;-8;1438
1705,1;87429;-1;-30;1443
1711,1;87433;2;-44;1444
1723,1;87433;0;-37;1440
1729,1;87433;0;-51;1443
1735,1;87429;0;-44;1442
1741,1;87433;0;-30;1439
1753,1;87433;0;0;1439
1759,1;87433;0;-8;1434
1765,1;87437;2;-15;1440
1777,1;87433;0;-59;1437
1783,1;87433;2;0;1438
1789,1;87433;0;-15;1437
1801,1;87433;0;-30;1434
1807,1;87429;-1;0;1444
1813,1;87433;0;-8;1443
1819,1;87429;1;0;1437
1831,1;87433;0;14;1439
1837,1;87429;0;0;1438
1843,1;87437;0;0;1437
1855,1;87433;0;-15;1440
1861,1;87433;0;-8;1437
1867,1;87433;0;-8;1442
1873,1;87433;0;7;1440
1885,1;87429;0;-30;1441
1891,1;87429;0;7;1442
1897,1;87429;0;-30;1435
