
13/06/2018;17:19:50

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87354;0;-59;1030
22,1;87350;0;0;1033
28,1;87350;0;-44;1035
36,1;87350;0;-30;1030
39,1;87350;-3;-15;1026
51,1;87354;1;-30;1033
57,1;87354;1;0;1030
63,1;87354;0;0;1034
75,1;87350;0;-30;1033
81,1;87354;1;-30;1030
87,1;87354;0;-30;1036
93,1;87350;-1;-51;1036
105,1;87350;-1;-44;1037
111,1;87354;-2;-30;1037
117,1;87350;0;-30;1030
129,1;87354;0;-44;1038
135,1;87354;0;0;1032
141,1;87354;0;-44;1032
147,1;87350;-2;-8;1036
153,1;87350;0;-30;1033
159,1;87354;0;-8;1029
165,1;87350;0;-37;1033
177,1;87350;0;0;1027
183,1;87350;0;-30;1032
189,1;87350;0;43;1037
201,1;87350;0;-15;1036
207,1;87350;-1;-44;1037
213,1;87350;-1;0;1035
219,1;87354;0;29;1028
231,1;87350;-2;-66;1035
237,1;87354;0;-8;1030
243,1;87354;0;-15;1030
255,1;87350;0;-15;1031
261,1;87354;0;-30;1030
267,1;87350;-1;7;1034
273,1;87354;0;-44;1032
285,1;87350;-2;-30;1034
291,1;87354;0;-15;1034
297,1;87350;0;0;1031
309,1;87350;-1;0;1034
315,1;87350;0;0;1034
321,1;87350;-1;-37;1033
333,1;87354;0;0;1040
339,1;87354;0;-51;1035
345,1;87350;0;-30;1037
351,1;87354;0;-8;1037
363,1;87354;0;0;1035
369,1;87354;0;-8;1037
375,1;87354;0;0;1034
387,1;87350;0;0;1035
393,1;87350;0;0;1037
399,1;87354;-1;-30;1033
405,1;87354;0;109;1039
417,1;87354;0;0;1035
423,1;87354;1;-15;1035
429,1;87350;0;-8;1036
441,1;87354;0;-30;1033
447,1;87350;0;-8;1036
453,1;87350;-2;0;1035
459,1;87350;-2;0;1032
471,1;87354;0;-15;1038
477,1;87350;0;-44;1030
483,1;87350;0;14;1034
495,1;87354;1;-44;1035
501,1;87350;-1;-15;1035
507,1;87350;0;0;1039
519,1;87350;1;-30;1035
525,1;87350;-1;-8;1039
531,1;87354;0;-8;1039
537,1;87350;0;0;1033
549,1;87350;0;-37;1039
555,1;87350;0;-15;1036
561,1;87350;0;-30;1033
573,1;87350;0;-117;1034
579,1;87354;1;0;1027
591,1;87354;1;-30;1034
603,1;87354;1;-8;1033
624,1;87354;1;-30;1033
627,1;87354;1;-37;1034
645,1;87350;0;-30;1035
651,1;87354;1;0;1034
657,1;87350;0;-30;1033
669,1;87354;0;-95;1035
675,1;87354;0;-15;1034
681,1;87354;0;0;1029
693,1;87354;0;-8;1034
699,1;87350;0;-8;1028
705,1;87350;0;-73;1032
711,1;87354;0;-30;1037
723,1;87350;-1;-30;1034
729,1;87358;1;0;1037
735,1;87350;0;-8;1036
747,1;87350;0;-8;1034
753,1;87350;-1;-37;1034
759,1;87354;0;0;1028
771,1;87354;0;-8;1034
777,1;87350;0;0;1031
783,1;87350;0;21;1032
789,1;87354;0;0;1035
801,1;87350;1;29;1033
807,1;87354;0;-30;1037
813,1;87354;0;-44;1036
825,1;87350;-2;-30;1036
831,1;87350;0;-30;1033
837,1;87354;0;-30;1031
843,1;87354;-2;0;1033
855,1;87354;0;43;1029
861,1;87354;0;21;1029
867,1;87354;0;-15;1035
879,1;87354;0;-30;1033
885,1;87345;-2;-15;1037
891,1;87354;0;-8;1033
897,1;87354;0;-8;1028
909,1;87350;0;-37;1033
915,1;87354;0;-30;1032
921,1;87354;1;0;1031
933,1;87350;0;0;1032
