
13/06/2018;17:08:27

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87398;1;-44;441
16,1;87394;-1;-8;441
18,1;87394;0;0;441
24,1;87394;0;-59;450
37,1;87394;-1;-59;442
42,1;87394;0;0;445
48,1;87394;0;-30;445
54,1;87394;-1;50;444
66,1;87398;0;-30;448
72,1;87394;0;7;445
79,1;87394;0;-44;439
109,1;87398;0;-30;449
114,1;87394;0;-44;445
132,1;87394;0;-30;447
138,1;87394;0;0;441
144,1;87394;0;-30;444
156,1;87394;-1;-30;445
162,1;87389;0;-15;447
168,1;87394;0;-8;447
174,1;87394;0;-8;443
186,1;87394;0;-15;449
192,1;87394;0;-15;448
198,1;87394;1;-30;444
210,1;87394;0;-30;447
216,1;87398;3;-8;445
222,1;87394;-1;-37;449
229,1;87398;1;-30;450
234,1;87394;-1;-44;446
240,1;87394;0;-44;443
246,1;87394;0;-8;449
259,1;87394;0;-30;441
264,1;87394;0;-8;448
270,1;87394;0;-30;446
282,1;87394;-1;21;444
288,1;87394;3;7;447
294,1;87389;-1;-30;446
300,1;87389;-1;-44;443
312,1;87394;-3;-8;444
318,1;87389;-2;-8;440
324,1;87394;0;-44;446
336,1;87398;1;-8;443
342,1;87394;0;-117;445
348,1;87394;-1;-30;448
354,1;87398;1;-30;447
366,1;87398;0;-59;446
372,1;87394;0;-44;447
379,1;87394;0;-44;442
390,1;87394;0;-8;448
396,1;87394;0;-59;444
402,1;87398;0;-44;443
415,1;87394;1;-8;445
420,1;87394;0;0;442
426,1;87394;1;43;450
432,1;87394;0;-30;447
444,1;87398;1;0;446
450,1;87398;0;-8;446
456,1;87394;0;-30;440
468,1;87394;0;-8;450
474,1;87389;0;-30;446
480,1;87394;0;-51;444
486,1;87389;0;-44;450
498,1;87394;0;-8;442
504,1;87394;1;-8;446
511,1;87394;0;0;447
522,1;87394;0;0;447
528,1;87394;0;0;448
534,1;87394;0;0;443
540,1;87394;0;-8;439
552,1;87398;1;-30;441
559,1;87394;0;0;438
564,1;87394;0;-44;446
576,1;87394;0;-66;444
582,1;87394;0;0;446
588,1;87389;-1;-30;447
600,1;87394;0;7;443
606,1;87394;-1;-146;447
612,1;87394;0;-44;446
618,1;87398;0;-44;441
631,1;87394;1;-8;449
636,1;87394;0;-37;443
642,1;87394;1;-51;444
655,1;87394;0;-51;446
661,1;87398;2;21;443
666,1;87394;2;-51;449
672,1;87394;0;-37;449
684,1;87394;1;21;447
690,1;87394;0;0;446
696,1;87394;0;-30;444
709,1;87398;0;-8;447
714,1;87398;0;0;447
720,1;87394;-1;-73;441
726,1;87394;0;-30;446
732,1;87394;0;-15;446
738,1;87389;0;0;444
744,1;87394;-1;14;447
756,1;87394;0;-30;444
763,1;87394;0;-30;443
769,1;87398;0;-44;446
780,1;87394;0;-73;441
786,1;87394;0;-15;595
792,1;87398;1;-22;1461
798,1;87389;-2;0;1911
810,1;84665;-405;-662;2290
822,1;75511;-923;-706;2387
829,1;68475;-1202;-706;2418
858,1;14998;-2100;-371;612
865,1;1652;-2156;-320;521
905,1;14418;825;-22;441
907,1;15517;836;-15;442
936,1;42991;983;65;435
943,1;49478;1022;-168;436
949,1;55709;1068;0;438
961,1;68950;1092;-73;435
966,1;75427;1141;29;443
973,1;82564;1198;-15;438
985,1;85926;-138;-37;438
990,1;85539;-20;-44;441
996,1;85535;-6;-44;435
1003,1;85855;37;36;441
1015,1;86589;94;50;444
1020,1;87464;98;-30;442
1026,1;87394;14;-59;446
1039,1;87310;0;-66;443
1044,1;87372;-6;0;448
1050,1;87389;17;-44;449
1057,1;87354;-1;-8;446
1063,1;87380;0;-37;446
1069,1;87394;2;-15;448
1074,1;87389;2;-44;444
1087,1;87380;-1;0;448
1092,1;87385;3;-8;447
1099,1;87389;1;-37;441
1111,1;87385;0;-44;450
1117,1;87380;-1;-8;440
1122,1;87385;0;21;441
1129,1;87385;-1;0;445
1141,1;87389;0;-66;439
1146,1;87385;0;-44;445
1152,1;87389;0;-8;444
1164,1;87389;1;-37;444
1171,1;87389;0;-30;441
1176,1;87389;0;-8;440
1182,1;87385;-2;21;443
1195,1;87385;0;-30;441
1200,1;87385;0;-30;443
1207,1;87389;0;-15;451
1219,1;87389;0;-44;442
1225,1;87385;0;-37;444
1231,1;87394;1;-37;446
1242,1;87389;0;-8;443
1249,1;87394;1;-15;446
1254,1;87385;0;-15;447
1261,1;87385;0;-44;442
1273,1;87389;0;-8;444
1279,1;87389;0;-8;439
1285,1;87385;0;-15;444
1297,1;87389;1;-30;441
1303,1;87389;0;0;440
1309,1;87389;-3;-30;443
1315,1;87385;0;-37;444
1327,1;87385;0;0;446
1333,1;87385;0;21;445
1339,1;87394;1;-8;443
1350,1;87389;0;-8;449
1357,1;87389;0;-8;445
1363,1;87385;-1;-8;449
1369,1;87389;1;-8;451
1381,1;87389;0;-8;444
1387,1;87389;0;-30;450
1393,1;87389;0;-73;446
1405,1;87389;0;-8;448
1411,1;87389;0;-44;449
1416,1;87389;0;-66;448
1429,1;87389;0;-30;447
1434,1;87385;-1;-59;445
1441,1;87389;0;-37;443
1447,1;87394;0;-8;447
1459,1;87389;0;-30;443
1464,1;87389;0;21;446
1470,1;87389;0;21;450
1483,1;87394;1;-8;449
1489,1;87394;0;-15;451
1494,1;87385;-1;-30;446
1500,1;87389;0;0;443
1513,1;87389;0;-8;448
1519,1;87389;-1;-30;446
1524,1;87394;1;-8;447
1537,1;87394;0;-8;443
1542,1;87385;-1;-30;443
1549,1;87389;0;0;446
1555,1;87389;0;-37;446
1561,1;87385;-2;-44;444
1567,1;87389;0;-44;447
1573,1;87389;0;0;445
1585,1;87389;0;-15;449
1590,1;87394;1;-37;448
1597,1;87394;1;-59;442
1623,1;87389;1;0;446
1627,1;87385;-1;-8;447
