
13/06/2018;17:17:30

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
1654,1;87376;-1;-8;1440
1660,1;87376;0;-51;1436
1666,1;87380;0;-15;1435
1678,1;87376;0;0;1439
1684,1;87380;0;-66;1440
1690,1;87376;-1;-8;1442
1696,1;87380;1;-37;1439
1708,1;87372;-1;-30;1440
1714,1;87372;0;-30;1439
1721,1;87376;0;-37;1434
1732,1;87376;0;-15;1439
1738,1;87376;0;-8;1434
1744,1;87380;0;0;1436
1750,1;87372;0;-102;1439
1762,1;87376;0;29;1432
1768,1;87380;0;-37;1439
1774,1;87372;0;-8;1437
1786,1;87380;1;7;1435
1792,1;87376;0;0;1438
1798,1;87372;-1;-30;1433
1804,1;87376;-1;-8;1432
1816,1;87380;0;-66;1439
1822,1;87372;-1;-30;1436
1828,1;87376;0;-22;1440
1840,1;87380;0;-30;1433
1846,1;87380;2;0;1437
1852,1;87376;-1;-44;1436
1864,1;87380;1;-15;1435
1870,1;87380;0;-8;1438
1877,1;87380;0;0;1436
1882,1;87376;0;-30;1434
1894,1;87380;0;29;1435
