
13/06/2018;17:07:34

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87398;0;-8;445
15,1;87402;0;65;446
18,1;87402;0;-8;447
30,1;87407;0;-30;442
36,1;87402;0;-15;445
42,1;87398;0;-44;441
50,1;87402;0;-8;441
60,1;87402;-1;-95;451
66,1;87402;0;-30;447
72,1;87402;1;-44;448
84,1;87398;-2;0;443
90,1;87402;0;-30;444
96,1;87402;0;-22;445
102,1;87402;0;-22;443
114,1;87398;0;-30;447
120,1;87402;1;-15;443
126,1;87402;0;-37;439
138,1;87402;1;-8;447
144,1;87402;-1;0;445
150,1;87402;1;-59;442
162,1;87402;0;-30;448
168,1;87398;0;-30;442
174,1;87402;0;-44;450
180,1;87402;0;-51;446
192,1;87402;0;0;448
198,1;87402;0;-15;448
205,1;87407;1;-15;447
216,1;87402;0;-102;452
222,1;87407;1;21;447
228,1;87402;0;0;446
234,1;87407;2;-30;449
246,1;87398;-1;0;441
252,1;87398;0;0;445
258,1;87402;0;0;445
270,1;87402;1;-146;443
276,1;87402;0;-30;449
282,1;87398;-1;-44;449
288,1;87402;0;-30;445
300,1;87402;0;-37;445
306,1;87402;0;-30;442
312,1;87394;-1;-8;448
324,1;87402;0;-30;447
330,1;87407;1;0;443
336,1;87402;1;-8;448
348,1;87402;-1;-8;445
354,1;87402;0;-146;449
360,1;87398;0;-8;448
366,1;87402;0;-88;439
378,1;87398;0;-8;447
384,1;87402;0;-15;447
390,1;87402;-1;-37;447
402,1;87402;0;-80;448
408,1;87398;-1;0;442
414,1;87402;0;-8;447
420,1;87407;0;-66;444
432,1;87398;-2;29;441
438,1;87402;0;-22;440
444,1;87398;0;-8;438
456,1;87402;0;-15;447
462,1;87402;0;0;445
468,1;87402;1;-30;442
474,1;87402;0;-30;447
480,1;87402;0;-30;445
486,1;87398;-2;0;442
492,1;87398;-1;-30;449
504,1;87402;0;-15;444
510,1;87402;0;0;447
516,1;87402;1;-8;448
528,1;87402;0;-30;1130
534,1;87402;0;0;1745
540,1;87279;-37;-502;1135
558,1;82450;-431;-364;547
564,1;79360;-529;-291;489
570,1;75862;-595;-364;459
576,1;71784;-703;-320;454
588,1;62046;-887;-306;439
594,1;56522;-929;-320;438
600,1;50343;-1045;-350;442
624,1;21889;-1335;-262;432
630,1;12498;-1426;-393;436
642,1;-5110;-1321;-342;442
648,1;-8266;-211;-15;430
660,1;-1437;662;-44;437
672,1;6745;736;21;435
686,1;17349;806;-8;431
690,1;20869;810;-15;436
702,1;31183;882;14;437
714,1;42297;945;-15;442
733,1;60855;1029;36;442
738,1;66796;1084;0;437
750,1;80147;1153;14;435
762,1;86093;-183;-44;441
768,1;85170;-131;36;440
774,1;85135;-15;0;444
780,1;85284;48;-59;438
786,1;85429;33;0;433
792,1;85952;77;-59;442
798,1;86884;173;14;444
810,1;87262;-19;0;442
816,1;87336;14;-66;447
822,1;87420;22;0;446
834,1;87385;-6;-117;448
840,1;87394;4;-73;446
846,1;87389;1;-66;441
852,1;87394;-1;-37;446
864,1;87402;0;0;443
870,1;87389;-2;21;440
876,1;87398;1;-8;444
888,1;87402;0;-8;441
894,1;87402;-1;14;447
900,1;87402;1;0;444
906,1;87402;0;-30;441
918,1;87407;0;0;444
924,1;87398;0;-80;446
930,1;87398;1;-30;445
942,1;87407;0;-73;443
948,1;87407;0;-8;438
954,1;87402;0;-30;442
966,1;87407;3;-37;438
972,1;87398;-3;-110;442
978,1;87398;-1;-37;445
984,1;87398;0;-15;443
996,1;87402;0;0;448
1002,1;87407;-1;0;448
1008,1;87407;-1;0;442
1020,1;87402;0;0;446
1026,1;87402;0;-44;441
1032,1;87407;3;-30;445
1038,1;87407;1;-44;445
1050,1;87402;0;-8;446
1056,1;87402;0;0;448
1062,1;87398;-1;-59;445
1074,1;87407;1;7;447
1080,1;87407;0;65;449
1086,1;87407;0;36;446
1092,1;87402;1;0;449
1104,1;87407;1;-8;442
1110,1;87402;0;0;442
1116,1;87407;0;14;447
1128,1;87407;1;-44;441
1134,1;87407;1;-8;447
1140,1;87407;1;0;448
1152,1;87402;-1;0;442
1158,1;87402;-1;-44;445
1164,1;87402;-1;0;444
1170,1;87411;2;0;445
1182,1;87402;-1;-30;446
1188,1;87407;0;-44;443
1194,1;87402;0;-30;446
1206,1;87407;2;7;440
1212,1;87402;0;21;444
1218,1;87407;0;-30;445
1224,1;87402;-1;7;445
1236,1;87402;0;21;447
1242,1;87402;0;-44;446
1248,1;87407;0;-15;435
1260,1;87402;0;-15;444
1266,1;87407;0;-30;440
1272,1;87402;-1;-15;445
1278,1;87407;0;-44;447
1284,1;87407;0;-30;442
1290,1;87407;0;-8;444
1296,1;87411;0;-30;448
1308,1;87402;-1;-15;441
1314,1;87407;0;-44;445
1320,1;87407;0;-30;446
1332,1;87402;-1;0;448
1357,1;87407;2;0;448
1362,1;87402;0;-30;444
1380,1;87407;0;-22;446
1386,1;87407;-2;-30;441
1398,1;87402;0;0;446
1404,1;87402;0;-30;444
1410,1;87402;-1;-15;443
1416,1;87407;0;-8;445
1428,1;87402;-1;-139;441
