
13/06/2018;17:08:50

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87385;0;0;447
8,1;87385;0;-8;442
20,1;87385;-1;-8;441
26,1;87385;0;-15;437
32,1;87389;0;-15;443
44,1;87385;0;-30;437
50,1;87385;-3;-44;444
56,1;87385;0;-44;448
62,1;87385;-1;0;444
74,1;87389;-1;-30;447
80,1;87385;0;-8;445
86,1;87389;0;-44;443
98,1;87385;-1;-37;443
104,1;87389;0;-30;441
110,1;87385;0;-95;448
116,1;87389;0;-30;447
128,1;87385;-1;-15;444
134,1;87385;0;-8;447
140,1;87385;0;-59;444
152,1;87389;0;-15;442
158,1;87385;0;0;443
164,1;87389;0;-66;441
176,1;87385;0;-30;446
182,1;87389;1;-30;445
188,1;87385;-1;-44;448
194,1;87385;0;0;450
206,1;87385;0;7;443
212,1;87385;0;21;449
218,1;87389;1;-59;448
230,1;87385;0;-73;447
236,1;87385;0;-73;447
242,1;87385;0;-30;442
248,1;87385;0;-8;447
260,1;87389;2;-59;444
266,1;87389;0;-30;442
272,1;87389;1;-15;448
284,1;87389;2;-8;441
290,1;87385;-1;0;448
296,1;87385;0;-66;445
302,1;87389;0;-66;443
314,1;87385;0;0;448
320,1;87385;0;-37;447
326,1;87385;-1;-66;443
338,1;87389;2;-8;449
344,1;87389;0;-30;444
350,1;87385;0;-8;449
362,1;87385;0;0;442
368,1;87389;1;-44;448
374,1;87389;2;-15;447
380,1;87389;0;-44;447
392,1;87385;-1;-66;450
398,1;87389;0;0;451
404,1;87389;1;-30;442
416,1;87385;1;-15;446
422,1;87385;0;-44;443
428,1;87389;0;-44;443
434,1;87385;-1;-15;445
446,1;87389;1;-8;443
452,1;87385;-1;-15;450
458,1;87385;0;-15;447
470,1;87385;-1;-73;445
476,1;87385;0;0;443
482,1;87385;0;29;441
488,1;87385;0;-8;444
494,1;87389;1;-66;447
500,1;87389;0;29;445
518,1;87385;0;0;450
524,1;87385;0;-51;442
530,1;87385;-1;-37;442
536,1;87385;0;-44;446
548,1;87389;0;-15;444
