
13/06/2018;17:25:14

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87402;0;-51;33
23,1;87407;0;0;31
26,1;87407;1;-44;30
32,1;87402;0;0;24
38,1;87407;-1;14;31
44,1;87402;0;-8;35
50,1;87402;0;-30;25
56,1;87402;0;7;29
68,1;87402;0;-30;29
74,1;87402;0;0;30
80,1;87402;1;21;32
92,1;87398;-2;-37;29
98,1;87402;0;-8;33
104,1;87402;-1;-30;32
110,1;87407;0;0;24
122,1;87407;2;-8;29
128,1;87411;1;-8;27
134,1;87402;0;-30;24
146,1;87407;1;-95;27
152,1;87402;0;-131;18
158,1;87402;0;14;28
164,1;87407;1;-15;28
176,1;87402;0;-59;28
182,1;87407;0;-30;28
188,1;87402;-2;-44;27
200,1;87407;0;0;29
206,1;87402;0;-30;28
212,1;87402;-1;-30;24
224,1;87402;0;-8;32
230,1;87402;0;-22;27
236,1;87402;0;7;28
242,1;87402;2;-30;31
254,1;87402;0;-22;27
260,1;87402;-1;-8;29
266,1;87402;-1;-66;26
278,1;87411;2;-8;30
284,1;87402;2;-66;31
290,1;87407;2;-44;28
296,1;87402;0;0;30
308,1;87402;1;-30;29
314,1;87402;0;-15;28
320,1;87402;0;-15;30
332,1;87407;0;-44;26
338,1;87402;-1;-44;31
344,1;87407;1;0;30
350,1;87407;0;-44;28
362,1;87407;0;14;33
368,1;87402;1;-8;28
374,1;87402;0;0;27
386,1;87402;0;-15;29
392,1;87407;2;-15;29
398,1;87402;0;-66;31
410,1;87407;1;0;22
416,1;87398;-1;-37;26
422,1;87402;0;0;28
428,1;87407;0;-15;26
440,1;87407;0;-30;29
446,1;87402;0;-15;28
452,1;87402;0;-15;25
464,1;87402;0;-8;28
470,1;87402;0;-37;23
476,1;87402;-1;-8;28
482,1;87398;0;-66;31
494,1;87407;0;-15;27
500,1;87407;0;43;29
506,1;87402;0;-15;28
518,1;87402;0;0;29
524,1;87407;0;-44;31
530,1;87402;0;-15;27
536,1;87402;0;0;32
542,1;87402;0;-146;30
548,1;87402;-2;-30;29
554,1;87402;0;21;30
566,1;86321;-285;-1535;6885
578,1;71389;-1819;-2015;9123
584,1;56122;-2693;-2160;9538
596,1;11658;-4120;-1193;9873
602,1;-10819;-2990;65;9940
614,1;-1283;1111;-37;9983
626,1;8595;497;-1986;8995
638,1;3563;-703;-779;2551
644,1;-2091;-991;-510;1369
656,1;-5813;422;-22;400
686,1;27241;1148;14;40
718,1;63092;1183;-15;25
733,1;81364;1216;-117;17
734,1;82749;1234;50;18
746,1;85662;-182;-59;28
752,1;84902;-88;-66;22
758,1;84875;6;14;27
780,1;86638;141;43;29
782,1;86976;142;-37;30
788,1;87376;6;-66;28
800,1;87310;4;14;35
806,1;87394;0;-44;29
812,1;87398;4;0;25
818,1;87380;0;-30;32
842,1;87394;-2;21;33
848,1;87402;0;21;30
866,1;87389;-4;43;32
872,1;87402;0;0;27
878,1;87407;3;-66;33
890,1;87402;1;43;26
896,1;87402;0;-15;26
902,1;87398;0;-8;32
914,1;87407;-1;0;27
920,1;87402;-2;-73;32
926,1;87398;-1;0;29
938,1;87402;0;0;30
944,1;87402;0;0;33
950,1;87407;0;0;25
956,1;87402;0;-146;24
968,1;87402;0;0;29
974,1;87407;2;0;32
980,1;87407;0;-22;35
992,1;87402;0;0;20
998,1;87402;0;-15;27
1004,1;87407;-1;29;27
1010,1;87407;1;-44;26
1022,1;87407;0;-8;32
1028,1;87402;0;43;26
1034,1;87411;1;-15;24
1046,1;87407;1;29;30
1052,1;87402;-2;-95;25
1058,1;87407;0;-30;32
1064,1;87402;0;-15;30
1077,1;87407;0;-30;30
1082,1;87402;-1;-8;29
1088,1;87407;0;-8;27
1100,1;87411;0;-30;30
1106,1;87407;0;-8;29
1112,1;87402;-2;-15;27
1124,1;87411;1;0;30
1130,1;87407;1;-44;29
1136,1;87407;0;-30;36
1142,1;87407;-1;0;32
1154,1;87411;1;7;26
1160,1;87407;0;-73;31
1166,1;87402;-2;-22;27
1178,1;87407;1;0;30
1184,1;87407;0;-15;29
1190,1;87402;-1;-8;25
1196,1;87407;0;7;30
1208,1;87407;1;-8;27
1214,1;87402;-1;-139;27
1220,1;87407;0;-30;32
1233,1;87411;0;14;28
1238,1;87407;-1;-30;31
1244,1;87411;0;-8;31
1250,1;87407;-1;-8;28
1256,1;87407;0;-37;31
1262,1;87407;1;-59;32
1268,1;87398;-1;0;27
1280,1;87407;0;7;29
1286,1;87407;1;-59;29
1292,1;87407;0;-44;25
1304,1;87402;-1;0;28
1310,1;87407;0;-15;22
1316,1;87411;2;-59;28
1322,1;87411;1;0;32
1334,1;87407;0;-30;29
1340,1;87407;0;-22;32
1346,1;87411;2;-37;31
1358,1;87402;0;-51;29
1364,1;87407;1;-30;29
1370,1;87407;0;-59;24
1376,1;87407;0;21;26
1388,1;87407;0;-30;27
1394,1;87411;3;0;30
1420,1;87407;1;-15;33
1424,1;87407;0;29;35
1436,1;87407;0;-44;29
1448,1;87411;2;7;27
1454,1;87407;0;-30;26
1460,1;87407;0;7;31
1472,1;87407;-1;-30;24
1478,1;87411;-1;-30;29
1484,1;87407;0;-30;30
1490,1;87407;1;-8;25
1502,1;87407;0;-44;30
1508,1;87407;0;-44;28
1514,1;87407;0;-73;26
1526,1;87402;-1;0;31
1532,1;87407;-1;0;23
1538,1;87407;2;-44;30
1550,1;87407;0;-30;28
1556,1;87402;-2;-15;28
1562,1;87411;2;-66;29
1568,1;87407;1;-44;29
1580,1;87407;0;-8;33
1586,1;87407;0;0;30
1592,1;87407;0;-8;24
1604,1;87407;0;14;31
1610,1;87411;2;0;26
1616,1;87411;0;0;29
1622,1;87407;0;-44;29
1634,1;87407;0;0;23
1640,1;87407;0;-37;26
1646,1;87402;0;0;30
1658,1;87407;0;-59;32
