
13/06/2018;17:24:34

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87420;-1;-30;24
7,1;87424;0;58;26
15,1;87420;0;-15;25
19,1;87424;0;-30;24
31,1;87420;0;-22;32
37,1;87420;-1;43;29
43,1;87420;-1;-37;30
49,1;87420;0;14;34
61,1;87424;0;-8;27
67,1;87424;0;-59;32
73,1;87416;-1;0;33
85,1;87424;0;-15;31
91,1;87420;0;-30;28
97,1;87424;0;-15;22
103,1;87420;0;0;23
115,1;87424;3;-30;31
121,1;87424;0;-37;27
127,1;87424;0;-15;34
139,1;87420;-1;-15;27
145,1;87424;0;-30;29
157,1;87420;0;0;28
169,1;87424;0;-15;31
187,1;87424;0;-8;28
193,1;87424;-1;-30;28
211,1;87420;0;0;31
217,1;87424;-1;-8;26
223,1;87424;0;14;28
229,1;87424;0;-22;31
235,1;87420;0;-30;33
241,1;87424;0;0;26
253,1;87424;0;-30;30
259,1;87420;-1;-30;21
265,1;87420;-1;-30;27
277,1;87424;0;-44;23
283,1;87424;0;-30;26
289,1;87424;0;-30;31
295,1;87420;0;-146;28
307,1;87424;0;-15;28
313,1;87429;2;-15;31
319,1;87424;0;-8;23
331,1;87424;0;-37;32
337,1;87420;-1;-44;28
343,1;87420;-1;-30;27
349,1;87424;1;29;35
361,1;87420;-1;-30;27
367,1;87424;-1;-37;32
373,1;87424;-1;-30;30
385,1;87420;0;-8;29
391,1;87420;-1;0;28
397,1;87420;0;-30;27
409,1;87424;1;0;27
415,1;87420;0;-59;29
421,1;87420;0;-44;27
427,1;87420;-1;14;30
439,1;87424;0;-37;28
445,1;87429;1;-44;32
451,1;87420;0;-8;32
463,1;87424;1;-37;28
469,1;87420;-2;-30;31
475,1;87424;0;0;30
481,1;87424;1;0;26
493,1;87420;-2;0;33
499,1;87420;0;-30;27
505,1;87424;0;-73;33
517,1;87420;-1;-131;29
523,1;87424;0;-37;29
529,1;87420;-1;-30;33
535,1;87424;0;-44;30
547,1;87424;0;-15;33
553,1;87424;0;-15;28
559,1;87424;0;36;24
571,1;87424;0;0;33
577,1;87420;0;-8;31
583,1;87420;-1;0;28
595,1;87424;1;-8;28
601,1;87420;-1;-8;27
607,1;87420;0;-44;34
613,1;87424;0;-8;30
625,1;87420;0;21;27
631,1;87420;-2;0;31
637,1;87420;-1;-30;29
649,1;87424;0;-44;31
655,1;87424;0;-8;28
661,1;87424;0;-30;24
667,1;87424;0;-146;28
679,1;87424;0;-44;25
685,1;87424;0;-15;29
691,1;87424;0;7;32
703,1;87420;0;-30;31
709,1;87424;1;-8;29
715,1;87424;0;43;28
721,1;87424;1;-30;28
727,1;87424;1;-59;30
733,1;87420;-1;29;30
739,1;87424;0;0;25
751,1;87424;1;-8;28
757,1;87420;0;-15;27
763,1;87424;0;-30;25
775,1;87420;-1;-30;22
781,1;87420;-2;0;23
787,1;87424;1;0;33
793,1;87424;0;-146;29
805,1;87424;0;-30;30
811,1;87420;0;29;32
