
13/06/2018;17:25:41

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87398;1;0;29
7,1;87398;1;-44;34
13,1;87394;0;-44;33
19,1;87394;1;0;26
31,1;87394;0;-37;32
37,1;87398;1;-8;26
43,1;87394;-1;-8;28
49,1;87398;0;-8;30
61,1;87394;0;-15;28
67,1;87398;1;-30;32
73,1;87394;-1;-66;31
85,1;87398;1;-8;33
91,1;87394;0;-51;31
97,1;87394;-2;-8;25
109,1;87394;0;7;33
115,1;87398;0;-73;29
121,1;87394;0;-44;24
127,1;87394;0;-30;30
139,1;87398;0;-30;23
145,1;87394;0;0;32
171,1;87398;0;-30;32
175,1;87394;0;-8;29
187,1;87394;0;0;32
199,1;87394;0;-15;27
205,1;87394;0;-51;31
211,1;87394;0;-30;32
223,1;87394;-1;-8;31
229,1;87394;1;7;33
235,1;87394;0;-30;30
241,1;87398;0;-30;27
253,1;87394;-1;0;28
259,1;87394;0;-44;25
265,1;87398;1;-30;32
277,1;87398;0;-30;31
283,1;87394;-1;43;32
289,1;87398;0;14;32
295,1;87394;0;-8;26
307,1;87398;0;-8;33
313,1;87394;-3;-15;32
319,1;87394;0;-37;30
331,1;87394;-1;0;30
337,1;87398;1;-30;23
343,1;87394;-1;0;27
349,1;87394;-2;-44;29
355,1;87394;0;29;29
361,1;87394;0;-37;26
367,1;87398;-1;-30;29
379,1;87394;1;-37;27
385,1;87394;2;-30;30
391,1;87394;-1;0;30
403,1;87398;0;-37;27
409,1;87394;0;-30;28
415,1;87394;0;14;30
421,1;87394;0;-8;26
433,1;87398;0;7;30
439,1;87398;0;0;27
445,1;87394;0;-15;34
457,1;87394;-1;-8;25
463,1;87394;0;-44;27
469,1;87394;0;-30;32
475,1;87394;-1;-66;29
487,1;87398;1;-30;28
493,1;87398;1;-66;26
499,1;87398;1;-30;24
511,1;87389;-1;21;28
517,1;87394;-1;-88;26
523,1;87394;0;-131;32
535,1;87398;0;-30;31
541,1;87398;0;-73;28
547,1;87398;1;-59;32
553,1;87394;0;-30;31
565,1;87398;0;-37;33
571,1;87394;0;-15;32
577,1;87394;0;-30;28
589,1;87398;1;-73;31
595,1;87394;0;-117;32
601,1;87398;0;-146;30
607,1;87398;0;-44;35
619,1;87394;0;-30;20
625,1;87394;0;-30;28
631,1;87394;0;-44;29
643,1;87394;-1;7;25
649,1;87394;0;-73;30
655,1;87394;0;0;27
661,1;87394;0;14;27
673,1;87394;0;-30;29
679,1;87398;1;-44;24
685,1;87398;0;-44;28
697,1;87394;0;-37;25
703,1;87394;0;-66;27
709,1;87394;-1;21;30
721,1;87398;0;-37;28
727,1;87394;0;-37;26
733,1;87394;0;-30;28
739,1;87394;0;0;26
751,1;87394;0;0;30
757,1;87398;0;-44;24
763,1;87398;0;43;27
775,1;87394;0;-44;30
781,1;87398;0;14;26
787,1;87394;-1;-44;31
793,1;87398;0;-44;29
805,1;87394;0;-30;30
811,1;87394;0;-8;30
817,1;87398;0;-30;30
829,1;87398;0;0;26
835,1;87398;1;-15;27
841,1;87394;-1;-37;28
847,1;87394;-1;-15;35
853,1;87394;1;-44;33
859,1;87398;0;-37;26
865,1;87394;0;-30;30
877,1;87394;0;0;22
883,1;87394;0;-59;26
889,1;87398;1;-30;31
901,1;87394;0;-131;27
907,1;87398;1;-30;33
919,1;87183;-92;-1615;7195
951,1;10542;-4144;-1259;9912
955,1;-4952;-4382;-2008;9943
973,1;1300;962;0;10000
1014,1;1489;874;-8;10009
1045,1;-2399;-677;-386;549
1076,1;7721;576;50;43
1107,1;27386;713;36;26
1111,1;29882;689;0;21
1123,1;38096;674;21;27
1129,1;42165;691;7;29
1135,1;46507;739;-8;22
1141,1;50884;733;-73;20
1147,1;55344;747;36;30
1153,1;59844;763;36;25
1159,1;64753;820;-8;14
1171,1;74680;830;-37;27
1177,1;79369;777;50;20
1183,1;84326;830;-37;21
1195,1;86304;-101;-30;27
1201,1;85979;-22;-15;26
1218,1;86537;82;-73;26
1219,1;86677;103;21;26
1231,1;87187;-38;0;33
1237,1;87218;15;-73;28
1243,1;87341;23;-30;30
1255,1;87385;-4;21;31
1261,1;87389;0;-15;26
1267,1;87380;0;0;32
1273,1;87389;0;-51;24
1285,1;87398;6;-153;32
1291,1;87389;-1;0;31
1297,1;87398;0;-8;25
1309,1;87394;-2;0;33
1315,1;87394;0;-22;30
1321,1;87394;2;-30;28
1333,1;87394;0;-30;33
1339,1;87398;0;-15;24
1345,1;87389;0;-8;31
1351,1;87389;1;-51;31
1363,1;87398;0;-44;32
1369,1;87398;-1;-44;30
1375,1;87389;-1;-37;25
1387,1;87402;1;-44;29
1393,1;87398;0;-59;27
1399,1;87398;0;43;23
1405,1;87398;2;-44;27
1417,1;87398;0;-37;20
1423,1;87407;1;0;23
1429,1;87398;1;-8;27
1441,1;87394;0;-30;26
1447,1;87398;0;-73;30
1453,1;87398;0;-37;33
1459,1;87398;0;-8;30
1471,1;87398;0;-37;30
1477,1;87398;1;-59;24
1483,1;87402;0;-15;26
1495,1;87402;2;-59;30
1501,1;87398;0;-44;27
1507,1;87398;0;-59;29
1519,1;87398;1;-30;23
1525,1;87398;1;-37;30
1531,1;87394;-2;65;31
1537,1;87398;0;-73;28
1549,1;87394;0;-30;32
1555,1;87398;0;-44;32
1561,1;87394;-1;-15;26
1573,1;87398;0;0;30
1579,1;87398;0;0;27
1585,1;87394;0;65;33
1591,1;87402;3;-73;33
1603,1;87394;-1;-15;28
1609,1;87398;0;-30;33
1615,1;87394;0;-44;29
1627,1;87398;-1;0;30
1633,1;87398;0;-22;28
1639,1;87398;0;-30;25
1645,1;87398;0;14;30
1651,1;87394;0;-30;28
1657,1;87398;0;0;24
1663,1;87398;-1;0;27
1675,1;87394;-1;-30;31
1687,1;87398;0;-44;31
1693,1;87398;0;29;31
1716,1;87398;1;-66;28
