
13/06/2018;17:21:50

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87358;0;-30;1038
16,1;87358;0;-37;1033
22,1;87358;-1;-44;1033
28,1;87358;0;-73;1031
34,1;87358;0;-15;1037
40,1;87358;1;0;1036
52,1;87358;0;-37;1032
58,1;87358;1;0;1039
64,1;87354;-1;-15;1036
76,1;87358;0;-30;1036
82,1;87358;-1;-15;1036
88,1;87354;0;-59;1032
94,1;87358;1;-51;1038
106,1;87358;0;-73;1033
112,1;87358;2;-44;1032
118,1;87354;0;-44;1037
130,1;87358;1;29;1029
136,1;87358;0;-37;1033
148,1;87358;0;0;1034
172,1;87358;0;-15;1034
178,1;87358;2;-102;1035
190,1;87358;0;-51;1031
202,1;87358;0;-15;1036
208,1;87358;0;-37;1031
220,1;87354;-1;-44;1034
226,1;87358;0;-44;1029
232,1;87354;0;14;1032
244,1;87354;-1;7;1034
250,1;87358;0;-44;1032
256,1;87358;0;-8;1034
262,1;87358;0;-66;1030
274,1;87350;-1;-30;1033
280,1;87358;0;-8;1034
286,1;87354;0;-44;1028
298,1;87358;0;-15;1037
304,1;87358;-1;-37;1037
310,1;87358;0;-131;1032
322,1;87358;-1;-44;1034
328,1;87363;1;7;1028
334,1;87358;0;-66;1032
340,1;87358;0;-30;1030
352,1;87358;1;14;1030
358,1;87358;0;-15;1037
364,1;87363;2;-8;1035
376,1;87358;1;-30;1038
382,1;87363;0;-73;1036
388,1;87358;0;-8;1032
394,1;87358;0;-8;1038
406,1;87358;0;-8;1033
412,1;87358;0;-8;1035
418,1;87358;-1;0;1033
430,1;87358;1;-44;1034
436,1;87358;0;-73;1038
442,1;87358;1;-66;1036
448,1;87358;-1;-22;1028
454,1;87354;0;-44;1036
460,1;87358;-3;-73;1036
466,1;87354;-1;-73;1033
478,1;87358;0;-8;1037
484,1;87358;0;-15;1034
490,1;87358;0;-8;1030
502,1;87358;0;0;1038
508,1;87354;0;0;3770
514,1;87363;1;-30;6234
520,1;85609;-421;-1622;7539
538,1;52338;-2819;-1848;8787
544,1;31623;-3605;-1484;8891
550,1;7053;-4194;-1157;8945
562,1;-7426;981;65;8992
574,1;6222;1138;36;9008
580,1;11096;669;-1222;5273
598,1;7844;-537;-590;1665
604,1;3739;-710;-611;1363
610,1;-1234;-883;-480;1203
640,1;4390;322;36;1035
655,1;10744;450;0;1027
671,1;18615;529;-8;1028
676,1;21498;554;-59;1032
682,1;25070;610;21;1030
694,1;32822;669;-15;1029
700,1;37125;708;0;1034
706,1;41295;706;109;1027
733,1;63202;863;58;1027
736,1;65715;861;0;1027
742,1;70914;892;0;1027
754,1;81707;938;50;1026
760,1;87394;944;-30;1025
766,1;86277;-157;-8;1025
778,1;85728;4;0;1030
784,1;85943;59;36;1030
790,1;86238;62;94;1028
796,1;86813;87;0;1034
808,1;87262;11;-30;1031
814,1;87288;0;-95;1036
820,1;87332;-2;-8;1038
832,1;87363;4;-30;1037
838,1;87345;1;7;1038
844,1;87341;-1;-30;1035
850,1;87336;1;-8;1031
862,1;87350;-1;-8;1031
868,1;87341;-2;-37;1031
874,1;87345;0;-30;1038
886,1;87354;0;-66;1032
892,1;87354;2;-30;1033
904,1;87354;2;-51;1036
916,1;87354;1;-15;1036
922,1;87350;0;-30;1033
936,1;87345;1;-51;1043
946,1;87354;2;-44;1035
958,1;87345;-1;-15;1036
964,1;87345;-1;0;1031
976,1;87354;4;-37;1036
982,1;87350;-3;0;1036
988,1;87350;0;-8;1031
