
13/06/2018;17:11:45

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
1639,1;87437;0;-59;1441
1651,1;87433;0;0;1437
1658,1;87433;0;43;1439
1663,1;87433;0;-59;1437
1670,1;87433;0;0;1438
1681,1;87433;1;-44;1443
1688,1;87433;-1;-73;1441
1700,1;87433;0;-44;1440
1732,1;87433;0;36;1446
1736,1;87433;0;0;1445
1748,1;87433;0;-37;1441
1760,1;87433;-1;-8;1440
1766,1;87433;-1;-37;1435
1777,1;87433;2;-30;1443
1784,1;87429;0;-8;1439
1789,1;87429;0;-73;1442
1796,1;87437;1;-37;1444
1808,1;87437;1;-15;1438
1813,1;87437;-2;-30;1443
1820,1;87433;0;-30;1442
1832,1;87433;-1;-44;1440
1838,1;87433;0;0;1441
1844,1;87433;0;-15;1437
1856,1;87429;0;-30;1443
1861,1;87433;0;-73;1440
1868,1;87433;0;-30;1440
1874,1;87433;0;-30;1447
1886,1;87433;1;-80;1437
1892,1;87433;-2;-22;1440
1898,1;87437;0;-59;1441
1910,1;87433;0;-30;1441
1916,1;87433;0;-37;1444
1922,1;87433;0;-73;1440
1928,1;87433;0;0;1438
1940,1;87433;0;0;1441
1946,1;87437;0;-8;1435
1952,1;87433;0;-15;1437
1964,1;87433;0;-15;1436
1970,1;87433;0;-44;1439
1976,1;87437;0;-15;1445
1982,1;87429;-3;-15;1442
1994,1;87433;0;-44;1446
2000,1;87433;0;-66;1443
2006,1;87433;1;0;1436
2018,1;87429;-2;0;1442
2024,1;87433;0;-66;1436
2030,1;87433;0;21;1440
2042,1;87433;1;-44;1439
2048,1;87433;0;-15;1437
2054,1;87437;1;-44;1443
2060,1;87433;0;-8;1441
2072,1;87433;-1;14;1440
2078,1;87437;0;-30;1442
2084,1;87437;1;-8;1438
2096,1;87437;0;-30;1442
2102,1;87433;0;-37;1440
2108,1;87433;1;-15;1439
2114,1;87433;2;-88;1438
2126,1;87433;0;0;1437
2132,1;87437;0;-30;1441
2138,1;87433;0;0;1439
2150,1;87433;0;7;1442
