
13/06/2018;17:17:04

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87380;-1;-8;1438
17,1;87380;0;0;1439
20,1;87380;0;-8;1440
26,1;87385;1;-37;1435
38,1;87380;1;0;1440
44,1;87376;-1;58;1436
50,1;87380;0;-51;1435
62,1;87380;-1;-15;1437
68,1;87376;0;-59;1436
74,1;87380;0;-37;1440
80,1;87380;0;0;1437
92,1;87380;0;-8;1435
98,1;87380;0;-8;1440
104,1;87380;1;-8;1436
116,1;87380;0;-44;1443
122,1;87380;0;-8;1440
128,1;87380;1;-8;1434
134,1;87376;0;0;1437
146,1;87385;1;-15;1433
152,1;87380;0;-8;1435
158,1;87380;0;-30;1436
170,1;87380;0;-30;1430
176,1;87376;0;7;1440
182,1;87376;-1;-8;1442
194,1;87380;0;-37;1440
200,1;87380;0;0;1441
206,1;87380;0;0;1435
212,1;87380;0;-15;1439
224,1;87380;0;21;1436
230,1;87380;0;-37;1434
236,1;87376;-2;-8;1439
248,1;87380;2;-8;1434
254,1;87376;0;-131;1438
260,1;87380;0;-15;1439
266,1;87380;0;-15;1436
278,1;87380;0;-15;1439
284,1;87380;-1;0;1436
290,1;87380;0;7;1436
302,1;87380;0;-37;1438
308,1;87376;0;-15;1436
314,1;87380;0;0;1442
320,1;87380;0;-30;1440
332,1;87380;1;21;1439
338,1;87376;-1;-59;1440
344,1;87380;1;36;1440
356,1;87376;0;0;1439
362,1;87380;0;29;1439
368,1;87380;0;-30;1434
380,1;87380;0;-44;1441
392,1;87380;1;-37;1436
406,1;87380;1;-22;1436
416,1;87380;1;0;1441
428,1;87380;1;-15;1437
434,1;87380;0;-30;1439
440,1;87380;0;0;1439
446,1;87380;1;-30;1435
452,1;87376;0;-8;1440
464,1;87380;0;0;1440
470,1;87380;0;-8;1436
476,1;87380;1;-8;1439
488,1;87380;0;-30;1431
494,1;87380;0;7;1436
500,1;87376;0;-15;1438
506,1;87380;0;-30;1434
518,1;87376;-1;0;1436
524,1;87380;0;-44;1432
530,1;87380;0;0;1435
542,1;87385;0;0;1438
548,1;87380;1;0;1433
554,1;87376;0;-8;1440
560,1;87380;0;-44;1441
572,1;87380;0;-30;1438
578,1;87380;1;7;1437
584,1;87380;0;-15;1435
596,1;87380;1;0;1436
602,1;87380;-3;-15;1438
608,1;87380;1;0;1434
620,1;87376;0;0;1434
626,1;87380;0;7;1432
632,1;87380;-1;-30;1437
638,1;87380;0;7;1439
650,1;87380;0;-30;1433
656,1;87380;0;0;1440
662,1;87380;1;0;1441
674,1;87380;0;7;1444
680,1;87380;0;-15;1441
686,1;87380;0;-80;1435
692,1;87380;0;-15;1437
704,1;87376;-1;0;1435
710,1;87376;-1;-44;1433
716,1;87380;1;-15;1439
728,1;87380;-1;-8;1433
734,1;87376;0;-30;1439
740,1;87380;0;-73;1435
746,1;87385;1;-44;1433
758,1;87380;0;-30;1438
764,1;87380;1;-30;1434
770,1;87376;0;-30;1435
782,1;87380;0;-44;1439
788,1;87380;0;0;1432
794,1;87380;2;-44;1440
806,1;87376;0;-15;1429
812,1;87380;0;-153;1436
818,1;87376;0;0;1439
824,1;87376;0;-8;1439
836,1;87380;3;-37;2041
842,1;86677;-182;-1099;4566
854,1;76192;-1258;-1477;6609
866,1;50027;-2633;-1615;7181
889,1;-9672;666;-8;7393
902,1;5717;1241;0;7415
936,1;17520;-411;-539;1666
938,1;16664;-469;-590;1623
950,1;8085;-840;-553;1479
956,1;2245;-975;-517;1457
983,1;11460;1319;36;1429
986,1;15125;1314;-15;1428
992,1;22926;1306;-37;1431
998,1;30999;1323;0;1430
1010,1;47003;1362;-8;1426
1016,1;55313;1380;94;1433
1022,1;63496;1417;14;1430
1034,1;80138;1353;0;1433
1040,1;87991;1155;-30;1431
1046,1;85807;-175;36;1431
1052,1;85539;-5;0;1435
1058,1;85724;-2;7;1436
1064,1;85952;56;0;1435
1070,1;86141;53;14;1432
1082,1;87459;115;-59;1439
1088,1;87345;8;0;1436
1094,1;87314;-3;0;1440
1106,1;87376;-3;-15;1435
1112,1;87372;8;-8;1437
1118,1;87332;-5;-30;1441
1124,1;87341;1;0;1440
1136,1;87363;0;-30;1440
1142,1;87367;-1;7;1442
1154,1;87367;0;-15;1437
1186,1;87376;2;29;1436
1217,1;87372;-1;-15;1444
1220,1;87376;1;-15;1441
1226,1;87380;0;-37;1435
1232,1;87358;-2;-15;1438
1244,1;87376;5;-15;1438
1251,1;87376;0;-30;1432
1256,1;87372;-1;29;1437
1268,1;87363;0;0;1435
1274,1;87372;2;0;1440
1280,1;87376;0;-8;1438
1286,1;87376;1;-15;1437
1298,1;87367;-1;29;1441
1304,1;87367;0;-30;1438
1310,1;87367;-1;0;1436
1322,1;87372;-1;-15;1443
1328,1;87367;-1;-37;1437
1334,1;87367;0;0;1442
1346,1;87380;0;-44;1433
1352,1;87376;0;7;1436
1358,1;87372;0;-15;1440
1364,1;87367;-2;-51;1435
1376,1;87380;0;-73;1436
1382,1;87372;-1;50;1436
1388,1;87372;-1;0;1433
1400,1;87367;-2;29;1441
1406,1;87372;0;29;1432
1412,1;87376;-1;-8;1437
1418,1;87376;0;0;1436
1430,1;87372;-1;-15;1431
1436,1;87372;0;-8;1435
1442,1;87376;1;-30;1439
1454,1;87372;-3;0;1439
1460,1;87376;0;0;1438
1466,1;87372;0;-44;1434
1472,1;87372;1;7;1437
1484,1;87376;0;0;1439
1490,1;87376;1;-66;1435
1496,1;87376;0;-80;1440
1508,1;87372;0;43;1435
1514,1;87380;1;-30;1439
1520,1;87380;2;-8;1439
1532,1;87376;0;-66;1435
1538,1;87372;0;0;1442
1544,1;87376;0;0;1437
1550,1;87372;0;-66;1436
1562,1;87376;-3;21;1446
1568,1;87376;1;-44;1436
1574,1;87372;2;-30;1438
1586,1;87376;1;-44;1438
1592,1;87376;0;0;1440
1598,1;87376;-1;0;1438
1604,1;87372;0;-44;1438
1616,1;87380;1;-15;1440
1622,1;87376;0;0;1439
1628,1;87376;0;7;1433
1640,1;87372;0;-117;1439
1646,1;87372;0;-44;1433
1652,1;87376;-1;0;1432
1658,1;87372;-1;21;1437
1664,1;87372;0;-8;1435
1670,1;87376;0;-8;1431
1676,1;87372;0;0;1435
1688,1;87376;0;14;1434
1694,1;87372;0;0;1436
1700,1;87376;1;-30;1436
1712,1;87380;1;-59;1437
1718,1;87376;-1;0;1441
1724,1;87376;0;-8;1441
1730,1;87372;-1;-15;1440
1742,1;87380;1;-30;1441
1748,1;87376;-1;-15;1435
1754,1;87372;0;0;1441
1766,1;87376;1;0;1436
1772,1;87376;0;21;1440
1778,1;87372;0;7;1441
1784,1;87376;0;0;1441
1796,1;87376;0;-30;1442
1802,1;87376;0;7;1439
1808,1;87376;0;-44;1433
1820,1;87380;1;-44;1440
1826,1;87385;2;-30;1434
1832,1;87380;0;43;1435
1844,1;87376;0;21;1436
1850,1;87376;1;0;1436
1856,1;87372;0;7;1436
1862,1;87372;-1;21;1436
1874,1;87372;-1;36;1441
1880,1;87385;2;-37;1439
1886,1;87376;-1;7;1436
1898,1;87376;-1;21;1438
1904,1;87380;0;-44;1436
1916,1;87380;0;7;1440
1934,1;87376;-2;-8;1440
1940,1;87376;0;-37;1442
1958,1;87380;1;-30;1441
1964,1;87380;0;-30;1436
1970,1;87376;0;-8;1436
1976,1;87376;-1;29;1439
