
13/06/2018;17:22:03

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
0,1;87358;0;-30;1036
16,1;87358;0;-30;1034
28,1;87354;-1;-30;1036
39,1;87358;0;0;1031
45,1;87354;0;-59;1035
57,1;87358;1;0;1035
63,1;87354;0;-30;1030
69,1;87354;0;-44;1035
75,1;87358;0;-102;1034
87,1;87354;-1;-30;1034
93,1;87354;0;-44;1033
99,1;87354;-1;-8;1029
111,1;87354;0;-37;1034
117,1;87358;1;-37;1031
123,1;87354;0;-8;1031
136,1;87350;-1;0;1035
141,1;87354;0;0;1032
147,1;87350;-2;-30;1039
153,1;87354;0;0;1036
165,1;87354;0;-153;1034
172,1;87354;-1;0;1036
178,1;87358;1;-8;1033
190,1;87358;0;-44;1037
195,1;87358;0;-66;1037
201,1;87358;0;0;1031
208,1;87354;0;-37;1033
220,1;87358;0;-30;1031
225,1;87354;0;-30;1032
231,1;87354;0;-30;1036
244,1;87354;-1;-30;1033
249,1;87358;0;-30;1037
255,1;87354;-2;-30;1036
261,1;87354;0;-8;1029
268,1;87354;0;-8;1038
273,1;87354;0;-37;1037
279,1;87354;0;-44;1032
292,1;87354;0;-102;1035
297,1;87354;0;-8;1032
303,1;87354;0;-30;1029
316,1;87354;0;-8;1038
321,1;87358;-1;-8;1031
327,1;87354;0;-30;1034
334,1;87354;1;-30;1033
346,1;87358;0;-30;1032
351,1;87358;0;0;1033
357,1;87358;0;-15;1032
370,1;87358;0;0;1038
376,1;87358;0;7;1035
381,1;87354;0;21;1030
387,1;87354;-1;-44;1036
399,1;87354;0;-30;1031
406,1;87363;2;0;1036
412,1;87358;0;14;1036
424,1;87354;-1;-37;1031
430,1;87354;0;-66;1034
436,1;87350;-2;-30;1033
448,1;87354;1;-30;1037
453,1;87358;1;-15;1034
460,1;87354;-1;-15;1034
465,1;87354;0;-15;1039
478,1;87354;0;-30;1036
