x-axis,1,2
second,Volt,Volt
-48.800E-03,+293.750E-03,+989.062E-03
-48.700E-03,+317.187E-03,+985.156E-03
-48.600E-03,+340.625E-03,+983.203E-03
-48.500E-03,+362.109E-03,+981.250E-03
-48.400E-03,+385.547E-03,+979.297E-03
-48.300E-03,+407.031E-03,+977.344E-03
-48.200E-03,+428.516E-03,+971.484E-03
-48.100E-03,+453.906E-03,+965.625E-03
-48.000E-03,+477.344E-03,+959.766E-03
-47.900E-03,+500.781E-03,+951.953E-03
-47.800E-03,+524.219E-03,+946.094E-03
-47.700E-03,+545.703E-03,+940.234E-03
-47.600E-03,+565.234E-03,+934.375E-03
-47.500E-03,+588.672E-03,+930.469E-03
-47.400E-03,+610.156E-03,+924.609E-03
-47.300E-03,+631.641E-03,+922.656E-03
-47.200E-03,+653.125E-03,+918.750E-03
-47.100E-03,+672.656E-03,+914.844E-03
-47.000E-03,+694.141E-03,+908.984E-03
-46.900E-03,+711.719E-03,+905.078E-03
-46.800E-03,+733.203E-03,+899.219E-03
-46.700E-03,+754.687E-03,+895.312E-03
-46.600E-03,+774.219E-03,+891.406E-03
-46.500E-03,+791.797E-03,+885.547E-03
-46.400E-03,+813.281E-03,+881.641E-03
-46.300E-03,+830.859E-03,+877.734E-03
-46.200E-03,+848.437E-03,+873.828E-03
-46.100E-03,+866.016E-03,+869.922E-03
-46.000E-03,+887.500E-03,+864.062E-03
-45.900E-03,+905.078E-03,+860.156E-03
-45.800E-03,+924.609E-03,+854.297E-03
-45.700E-03,+942.187E-03,+848.437E-03
-45.600E-03,+961.719E-03,+844.531E-03
-45.500E-03,+977.344E-03,+840.625E-03
-45.400E-03,+994.922E-03,+838.672E-03
-45.300E-03,+1.008594E+00,+836.719E-03
-45.200E-03,+1.028125E+00,+832.812E-03
-45.100E-03,+1.045703E+00,+828.906E-03
-45.000E-03,+1.061328E+00,+825.000E-03
-44.900E-03,+1.076953E+00,+823.047E-03
-44.800E-03,+1.090625E+00,+821.094E-03
-44.700E-03,+1.108203E+00,+819.141E-03
-44.600E-03,+1.121875E+00,+815.234E-03
-44.500E-03,+1.137500E+00,+813.281E-03
-44.400E-03,+1.147266E+00,+811.328E-03
-44.300E-03,+1.162891E+00,+811.328E-03
-44.200E-03,+1.178516E+00,+809.375E-03
-44.100E-03,+1.194141E+00,+807.422E-03
-44.000E-03,+1.207812E+00,+805.469E-03
-43.900E-03,+1.219531E+00,+803.516E-03
-43.800E-03,+1.233203E+00,+801.562E-03
-43.700E-03,+1.246875E+00,+799.609E-03
